fen,eval_cp,eval_norm,phase_bucket,ply,move_number,material_white,material_black,piece_count_total,endgame_rule_flag,mate_flag,time_ms,depth
5rk1/5pbp/p5p1/8/1P6/8/1P2R1PP/5R1K b - - 0 29,-177,-0.08850,END,57,29,14,12,20,1,0,52.94,11
r5k1/ppp1p2p/3q1np1/3P3n/5P2/2NQ4/PPP3PP/3R2K1 b - - 0 21,515,0.25750,MID,41,21,24,26,33,0,0,54.94,10
r5k1/ppp1p2p/3q1np1/3P4/5n2/2NQ4/PPP3PP/3R2K1 w - - 0 22,-478,-0.23900,MID,42,22,23,26,31,0,0,59.15,12
r5k1/ppp1p2p/3q1np1/3P4/5n2/2N2Q2/PPP3PP/3R2K1 b - - 1 22,529,0.26450,MID,43,22,23,26,31,0,0,53.39,13
r5k1/ppp1p2p/3q1np1/3n4/8/2N2Q2/PPP3PP/3R2K1 w - - 0 23,-61,-0.03050,MID,44,23,22,26,29,0,0,14.96,12
r5k1/ppp1p2p/3q1np1/3N4/8/5Q2/PPP3PP/3R2K1 b - - 0 23,107,0.05350,MID,45,23,22,23,28,0,0,13.18,10
r5k1/ppp1p2p/3q2p1/3n4/8/5Q2/PPP3PP/3R2K1 w - - 0 24,-83,-0.04150,MID,46,24,19,23,27,0,0,12.96,9
r5k1/ppp1p2p/3q2p1/3R4/8/5Q2/PPP3PP/6K1 b - - 0 24,243,0.12150,MID,47,24,19,20,26,0,0,13.71,12
r5k1/ppp1p2p/1q4p1/3R4/8/5Q2/PPP3PP/6K1 w - - 1 25,-204,-0.10200,MID,48,25,19,20,26,0,0,13.71,11
1Q6/1br2pkp/p3pnp1/1p4q1/8/P3P1NP/BP3PP1/6K1 w - - 0 26,33,0.01650,MID,50,26,21,26,31,0,0,13.39,10
8/1bQ2pkp/p3pnp1/1p4q1/8/P3P1NP/BP3PP1/6K1 b - - 0 26,3,0.00150,MID,51,26,21,21,30,0,0,15.16,10
8/2Q2pkp/p3pnp1/1p1b2q1/8/P3P1NP/BP3PP1/6K1 w - - 1 27,-4,-0.00200,MID,52,27,21,21,30,0,0,14.12,10
8/2Q2pkp/p3pnp1/1p1B2q1/8/P3P1NP/1P3PP1/6K1 b - - 0 27,7,0.00350,MID,53,27,21,18,29,0,0,12.50,8
8/2Q2pkp/p3pnp1/1p1q4/8/P3P1NP/1P3PP1/6K1 w - - 0 28,50,0.02500,MID,54,28,18,18,28,0,0,13.96,10
8/5pkp/p3pnp1/1p1q4/8/P1Q1P1NP/1P3PP1/6K1 b - - 1 28,2,0.00100,MID,55,28,18,18,28,0,0,14.92,11
8/5pkp/p4np1/1p1qp3/8/P1Q1P1NP/1P3PP1/6K1 w - - 0 29,7,0.00350,MID,56,29,18,18,28,0,0,13.96,8
8/5pkp/p4np1/1p1qp3/1P6/P1Q1P1NP/5PP1/6K1 b - - 0 29,3,0.00150,MID,57,29,18,18,28,0,0,14.06,11
b2q3r/3p1k1p/pp2ppp1/2p5/8/BP3PP1/P1PQP2P/R4BK1 b - - 0 21,-447,-0.22350,MID,41,21,27,25,37,0,0,15.00,14
b2q3r/3p1k2/pp2ppp1/2p4p/8/BP3PP1/P1PQP2P/R4BK1 w - - 0 22,413,0.20650,MID,42,22,27,25,37,0,0,14.06,12
b2q3r/3p1k2/pp2ppp1/2p4p/4P3/BP3PP1/P1PQ3P/R4BK1 b - - 0 22,-404,-0.20200,MID,43,22,27,25,37,0,0,15.98,11
b2q3r/3p1k2/pp2p1p1/2p2p1p/4P3/BP3PP1/P1PQ3P/R4BK1 w - - 0 23,541,0.27050,MID,44,23,27,25,37,0,0,16.07,13
b2q3r/3p1k2/Bp2p1p1/2p2p1p/4P3/BP3PP1/P1PQ3P/R5K1 b - - 0 23,-474,-0.23700,MID,45,23,27,24,35,0,0,15.05,13
b6r/3p1k2/Bp2pqp1/2p2p1p/4P3/BP3PP1/P1PQ3P/R5K1 w - - 1 24,440,0.22000,MID,46,24,27,24,35,0,0,13.63,12
b6r/3p1k2/Bp2pqp1/2p2p1p/4P3/BP3PP1/P1PQ3P/3R2K1 b - - 2 24,-437,-0.21850,MID,47,24,27,24,35,0,0,12.87,11
7r/3p1k2/Bpb1pqp1/2p2p1p/4P3/BP3PP1/P1PQ3P/3R2K1 w - - 3 25,463,0.23150,MID,48,25,27,24,35,0,0,15.91,14
r4bnr/pbpkpp1p/1p4p1/n2P4/2p5/2N2NP1/PP2PPBP/R1B1K2R w KQ - 0 10,246,0.12300,END,18,10,29,30,42,1,0,14.01,11
r4bnr/pbpkpp1p/1p4p1/n2PN3/2p5/2N3P1/PP2PPBP/R1B1K2R b KQ - 1 10,-123,-0.06150,END,19,10,29,30,42,1,0,14.25,10
r3kbnr/pbp1pp1p/1p4p1/n2PN3/2p5/2N3P1/PP2PPBP/R1B1K2R w KQ - 2 11,188,0.09400,END,20,11,29,30,42,1,0,15.17,10
r3kbnr/pbp1pp1p/1p4p1/n2PN3/1Pp5/2N3P1/P3PPBP/R1B1K2R b KQ b3 0 11,-60,-0.03000,END,21,11,29,30,42,1,0,14.17,10
r3k1nr/pbp1ppbp/1p4p1/n2PN3/1Pp5/2N3P1/P3PPBP/R1B1K2R w KQ - 1 12,190,0.09500,END,22,12,29,30,42,1,0,12.77,10
r3k1nr/pbp1ppbp/1p4p1/n2PN3/1Pp2B2/2N3P1/P3PPBP/R3K2R b KQ - 2 12,-139,-0.06950,END,23,12,29,30,42,1,0,16.13,10
r3k1nr/pbp1p1bp/1p3pp1/n2PN3/1Pp2B2/2N3P1/P3PPBP/R3K2R w KQ - 0 13,286,0.14300,END,24,13,29,30,42,1,0,15.64,11
r3k1nr/pbp1p1bp/1p3pp1/n2P4/1Pp2B2/2N2NP1/P3PPBP/R3K2R b KQ - 1 13,-277,-0.13850,END,25,13,29,30,42,1,0,15.64,11
r3kbnr/ppp1pppp/2n5/7b/4P3/4BP2/PPP3PP/RN1K1BNR w kq - 1 7,55,0.02750,END,12,7,29,29,40,1,0,15.52,10
r3kbnr/ppp1pppp/2n5/7b/4P3/2P1BP2/PP4PP/RN1K1BNR b kq - 0 7,-55,-0.02750,END,13,7,29,29,40,1,0,14.55,11
2kr1bnr/ppp1pppp/2n5/7b/4P3/2P1BP2/PP4PP/RN1K1BNR w - - 1 8,55,0.02750,END,14,8,29,29,40,1,0,14.85,9
2kr1bnr/ppp1pppp/2n5/7b/4P3/2P1BP2/PPK3PP/RN3BNR b - - 2 8,-47,-0.02350,END,15,8,29,29,40,1,0,12.70,9
2kr1bnr/ppp2ppp/2n5/4p2b/4P3/2P1BP2/PPK3PP/RN3BNR w - - 0 9,93,0.04650,END,16,9,29,29,40,1,0,15.98,12
2kr1bnr/ppp2ppp/2n5/1B2p2b/4P3/2P1BP2/PPK3PP/RN4NR b - - 1 9,-20,-0.01000,END,17,9,29,29,40,1,0,12.97,10
2kr1b1r/ppp1nppp/2n5/1B2p2b/4P3/2P1BP2/PPK3PP/RN4NR w - - 2 10,56,0.02800,END,18,10,29,29,40,1,0,13.94,9
2kr1b1r/ppp1nppp/2n5/1B2p2b/4P3/2P1BP2/PPK1N1PP/RN5R b - - 3 10,-22,-0.01100,END,19,10,29,29,40,1,0,14.62,9
2k5/1bpqbp2/pp2p3/4B2P/P1PP4/1P3P2/6rN/3R1RK1 w - - 0 28,-1,-0.00050,MID,54,28,22,25,30,0,0,13.65,9
2k5/1bpqbp2/pp2p3/4B2P/P1PP4/1P3P2/6KN/3R1R2 b - - 0 28,96,0.04800,MID,55,28,22,20,29,0,0,13.66,10
2k5/1bpq1p2/pp2p3/4B1bP/P1PP4/1P3P2/6KN/3R1R2 w - - 1 29,28,0.01400,MID,56,29,22,20,29,0,0,13.99,9
2k5/1bpq1p2/pp2p3/4B1bP/P1PP2N1/1P3P2/6K1/3R1R2 b - - 2 29,31,0.01550,MID,57,29,22,20,29,0,0,13.99,13
2k5/1bpq4/pp2p3/4BpbP/P1PP2N1/1P3P2/6K1/3R1R2 w - - 0 30,55,0.02750,MID,58,30,22,20,29,0,0,13.60,10
2k5/1bpq4/pp2pN2/4BpbP/P1PP4/1P3P2/6K1/3R1R2 b - - 1 30,142,0.07100,MID,59,30,22,20,29,0,0,12.59,10
2k5/1bp3q1/pp2pN2/4BpbP/P1PP4/1P3P2/6K1/3R1R2 w - - 2 31,-85,-0.04250,MID,60,31,22,20,29,0,0,14.10,9
2k5/1bp3q1/pp2pN2/4BpbP/P1PP4/1P3P2/5K2/3R1R2 b - - 3 31,186,0.09300,MID,61,31,22,20,29,0,0,13.26,10
r3k2r/pbp3pp/2p5/3p4/1bP5/8/P2NPPPP/2q1KB1R w Kkq - 0 13,-2000,-1.00000,MID,24,13,17,31,32,0,1,1.00,0
q5k1/p4pp1/1p3b1p/2p5/5P2/2P1N1Pb/1PQ4P/R2R2K1 b - - 0 28,-443,-0.22150,MID,55,28,27,21,29,0,0,14.69,13
6k1/p4pp1/1p3b1p/2p5/5P2/2P1NqPb/1PQ4P/R2R2K1 w - - 1 29,501,0.25050,MID,56,29,27,21,29,0,0,14.69,14
6k1/p4pp1/1p3b1p/2p5/5P2/2P1NqPb/1P3Q1P/R2R2K1 b - - 2 29,-476,-0.23800,MID,57,29,27,21,29,0,0,13.95,15
6k1/p4pp1/1p3b1p/2p4q/5P2/2P1N1Pb/1P3Q1P/R2R2K1 w - - 3 30,565,0.28250,MID,58,30,27,21,29,0,0,13.83,14
6k1/p4pp1/1p3b1p/2pR3q/5P2/2P1N1Pb/1P3Q1P/R5K1 b - - 4 30,-540,-0.27000,MID,59,30,27,21,29,0,0,14.49,14
6k1/p4pp1/1p3bqp/2pR4/5P2/2P1N1Pb/1P3Q1P/R5K1 w - - 5 31,552,0.27600,MID,60,31,27,21,29,0,0,14.05,15
6k1/p4pp1/1p3bqp/2pR4/5P2/2P1N1Pb/1P3Q1P/3R2K1 b - - 6 31,-536,-0.26800,MID,61,31,27,21,29,0,0,13.99,13
6k1/p4pp1/1p2bbqp/2pR4/5P2/2P1N1P1/1P3Q1P/3R2K1 w - - 7 32,673,0.33650,MID,62,32,27,21,29,0,0,13.99,15
rnb1kb1r/pp4pp/2p5/4P2n/8/P5PP/1PP5/RNB1KB1R b KQkq - 0 14,524,0.26200,END,27,14,25,27,33,1,0,14.67,14
rnb1kb1r/pp4pp/2p5/4P3/8/P5nP/1PP5/RNB1KB1R w KQkq - 0 15,-542,-0.27100,END,28,15,24,27,31,1,0,14.48,14
rnb1kb1r/pp4pp/2p5/4P3/8/P5nP/1PP5/RNB1KBR1 b Qkq - 1 15,489,0.24450,END,29,15,24,27,31,1,0,14.48,13
rnb1kb1r/pp4pp/2p5/4P3/8/P6P/1PP5/RNB1KnR1 w Qkq - 0 16,-499,-0.24950,END,30,16,21,27,30,1,0,14.40,13
rnb1kb1r/pp4pp/2p5/4P3/8/P6P/1PP5/RNB1KR2 b Qkq - 0 16,556,0.27800,END,31,16,21,24,29,1,0,13.54,13
