fen,eval_cp,eval_norm,phase_bucket,ply,move_number,material_white,material_black,piece_count_total,endgame_rule_flag,mate_flag,time_ms,depth
4r1k1/ppp5/3p2p1/3P4/1PP2PQp/4b2P/Pq4P1/5R1K w - - 0 29,-42,-0.02100,MID,56,29,21,23,31,0,0,67.43,12
4r1k1/ppp5/3p2Q1/3P4/1PP2P1p/4b2P/Pq4P1/5R1K b - - 0 29,167,0.08350,MID,57,29,21,22,29,0,0,15.28,11
4rk2/ppp5/3p2Q1/3P4/1PP2P1p/4b2P/Pq4P1/5R1K w - - 1 30,-120,-0.06000,MID,58,30,21,22,29,0,0,44.53,10
4rk2/ppp5/3p3Q/3P4/1PP2P1p/4b2P/Pq4P1/5R1K b - - 2 30,211,0.10550,MID,59,30,21,22,29,0,0,16.47,12
4rk2/ppp3q1/3p3Q/3P4/1PP2P1p/4b2P/P5P1/5R1K w - - 3 31,-186,-0.09300,MID,60,31,21,22,29,0,0,13.53,11
4rk2/ppp3q1/3p4/3P4/1PP2P1Q/4b2P/P5P1/5R1K b - - 0 31,200,0.10000,MID,61,31,21,21,27,0,0,52.25,9
4rk2/ppp3q1/3p4/3P4/1PPb1P1Q/7P/P5P1/5R1K w - - 1 32,-160,-0.08000,MID,62,32,21,21,27,0,0,49.26,11
r6r/ppp2pk1/2n4n/3p1P2/3P3Q/P1P2N1P/P4P2/R4RK1 b - - 0 19,-525,-0.26250,MID,37,19,29,21,32,0,0,13.64,13
r6r/ppp2pk1/2n5/3p1n2/3P3Q/P1P2N1P/P4P2/R4RK1 w - - 0 20,581,0.29050,MID,38,20,28,21,30,0,0,17.20,12
r6r/ppp2pk1/2n5/3p1nQ1/3P4/P1P2N1P/P4P2/R4RK1 b - - 1 20,-581,-0.29050,MID,39,20,28,21,30,0,0,15.25,12
r4k1r/ppp2p2/2n5/3p1nQ1/3P4/P1P2N1P/P4P2/R4RK1 w - - 2 21,658,0.32900,MID,40,21,28,21,30,0,0,14.01,13
r4k1r/ppp2p2/2n5/3p1Q2/3P4/P1P2N1P/P4P2/R4RK1 b - - 0 21,-591,-0.29550,MID,41,21,28,18,29,0,0,13.50,12
r4kr1/ppp2p2/2n5/3p1Q2/3P4/P1P2N1P/P4P2/R4RK1 w - - 1 22,795,0.39750,MID,42,22,28,18,29,0,0,13.98,14
5rk1/5pp1/p3p3/1pP1Qn2/1P3P1p/P3N1nP/1B2qKP1/8 w - - 0 33,-2000,-1.00000,MID,64,33,21,26,31,0,1,21.95,45
5rk1/5pp1/p3p3/1pP1Qn2/1P3P1p/P3N1nP/1B2q1P1/6K1 b - - 1 33,695,0.34750,MID,65,33,21,26,31,0,0,15.09,13
5rk1/5pp1/p3p3/1pP1Qn2/1P3P1p/P3q1nP/1B4P1/6K1 w - - 0 34,-697,-0.34850,MID,66,34,18,26,30,0,0,15.07,12
5rk1/5pp1/p3p3/1pP2n2/1P3P1p/P3Q1nP/1B4P1/6K1 b - - 0 34,701,0.35050,MID,67,34,18,17,29,0,0,13.08,16
5rk1/5pp1/p3p3/1pP5/1P3P1p/P3n1nP/1B4P1/6K1 w - - 0 35,-751,-0.37550,END,68,35,9,17,28,1,0,14.65,14
