fen,eval_cp,eval_norm,phase_bucket,ply,move_number,material_white,material_black,piece_count_total,endgame_rule_flag,mate_flag,time_ms,depth
4r1k1/4r3/p5p1/1p4K1/2p2P2/3p2P1/PP1R4/3R4 b - - 3 42,367,0.18350,END,83,42,14,15,22,1,0,17.01,11
4r3/4r1k1/p5p1/1p4K1/2p2P2/3p2P1/PP1R4/3R4 w - - 4 43,-347,-0.17350,END,84,43,14,15,22,1,0,14.00,12
b4R1k/4r1p1/p2p3p/1pqP4/6Q1/P2B4/1PP3PP/7K b - - 0 25,-2000,-1.00000,MID,49,25,23,22,28,0,1,1.99,0
2q4r/pk6/1pnP1Ppp/2p5/2P2P1P/1P3Q2/P1P5/2KR3R w - - 0 27,609,0.30450,MID,52,27,27,22,32,0,0,13.81,13
2q4r/pk1P4/1pn2Ppp/2p5/2P2P1P/1P3Q2/P1P5/2KR3R b - - 0 27,-604,-0.30200,MID,53,27,27,22,32,0,0,13.10,13
3q3r/pk1P4/1pn2Ppp/2p5/2P2P1P/1P3Q2/P1P5/2KR3R w - - 1 28,572,0.28600,MID,54,28,27,22,32,0,0,15.81,13
3q3r/pk1P1P2/1pn3pp/2p5/2P2P1P/1P3Q2/P1P5/2KR3R b - - 0 28,-524,-0.26200,MID,55,28,27,22,32,0,0,13.60,14
3q1r2/pk1P1P2/1pn3pp/2p5/2P2P1P/1P3Q2/P1P5/2KR3R w - - 1 29,612,0.30600,MID,56,29,27,22,32,0,0,14.80,14
3q1r2/pk1P1P2/1pn3pp/2pQ4/2P2P1P/1P6/P1P5/2KR3R b - - 2 29,-520,-0.26000,MID,57,29,27,22,32,0,0,14.80,10
3q1r2/p1kP1P2/1pn3pp/2pQ4/2P2P1P/1P6/P1P5/2KR3R w - - 3 30,619,0.30950,MID,58,30,27,22,32,0,0,15.25,13
3q1r2/p1kP1P2/1pn3pp/2pQ4/2P2P1P/1P6/P1P5/2KRR3 b - - 4 30,-557,-0.27850,MID,59,30,27,22,32,0,0,14.07,12
3r2k1/p2P1rpp/4pp2/1B2N3/1b1p1q2/7P/PP3PP1/4R1KR b - - 0 21,715,0.35750,MID,41,21,22,28,32,0,0,13.57,16
3r2k1/p2P1rpp/4p3/1B2p3/1b1p1q2/7P/PP3PP1/4R1KR w - - 0 22,-751,-0.37550,MID,42,22,19,28,31,0,0,14.57,16
3r2k1/p2P1rpp/4p3/1B2p3/1b1p1q2/P6P/1P3PP1/4R1KR b - - 0 22,2000,1.00000,MID,43,22,19,28,31,0,1,17.03,20
3r2k1/p2P1rpp/4p3/1B2p3/1b1p4/P6P/1P3qP1/4R1KR w - - 0 23,-2000,-1.00000,MID,44,23,18,28,29,0,1,17.12,26
3r2k1/p2P1rpp/4p3/1B2p3/1b1p4/P6P/1P3qPK/4R2R b - - 1 23,2000,1.00000,MID,45,23,18,28,29,0,1,15.59,23
3r2k1/p2P1rpp/3bp3/1B2p3/3p4/P6P/1P3qPK/4R2R w - - 2 24,-729,-0.36450,MID,46,24,18,28,29,0,0,13.60,14
3r2k1/p2P1rpp/3bp3/1B2p3/3p4/P6P/1P3qPK/2R4R b - - 3 24,2000,1.00000,MID,47,24,18,28,29,0,1,35.57,245
3r2k1/p2P1rpp/3bp3/1B6/3pp3/P6P/1P3qPK/2R4R w - - 0 25,-2000,-1.00000,MID,48,25,18,28,29,0,1,0.99,0
r3k2r/p1pn1pbp/1p3np1/3p4/4pP2/1PN1P2N/PBPP2PP/R3K2R w KQkq - 0 15,187,0.09350,END,28,15,27,27,42,1,0,15.02,12
r3k2r/p1pn1pbp/1p3np1/3p2N1/4pP2/1PN1P3/PBPP2PP/R3K2R b KQkq - 1 15,24,0.01200,END,29,15,27,27,42,1,0,14.49,9
r4rk1/p1pn1pbp/1p3np1/3p2N1/4pP2/1PN1P3/PBPP2PP/R3K2R w KQ - 2 16,-26,-0.01300,END,30,16,27,27,42,1,0,14.49,10
r4rk1/p1pn1pbp/1p3np1/3p2N1/4pP2/1PN1P3/PBPP2PP/2KR3R b - - 3 16,84,0.04200,END,31,16,27,27,42,1,0,13.03,11
r4rk1/p2n1pbp/1p3np1/2pp2N1/4pP2/1PN1P3/PBPP2PP/2KR3R w - - 0 17,-16,-0.00800,END,32,17,27,27,42,1,0,13.56,9
r4rk1/p2n1pbp/1p3np1/2pp2N1/4pP2/1P2P3/PBPPN1PP/2KR3R b - - 1 17,98,0.04900,END,33,17,27,27,42,1,0,13.56,11
r4rk1/p2n1pb1/1p3npp/2pp2N1/4pP2/1P2P3/PBPPN1PP/2KR3R w - - 0 18,-41,-0.02050,END,34,18,27,27,42,1,0,13.03,11
r4rk1/p2n1pb1/1p3npp/2pp4/4pP2/1P2P2N/PBPPN1PP/2KR3R b - - 1 18,80,0.04000,END,35,18,27,27,42,1,0,13.95,10
5rk1/1pq3p1/p2p2Q1/3Pp3/2P3P1/1P4pP/P7/2R2RK1 b - - 0 32,-227,-0.11350,MID,63,32,25,20,29,0,0,13.02,11
5rk1/1p4p1/p2p2Q1/2qPp3/2P3P1/1P4pP/P7/2R2RK1 w - - 1 33,215,0.10750,MID,64,33,25,20,29,0,0,14.00,12
5rk1/1p4p1/p2p2Q1/2qPp3/2P3P1/1P4pP/P7/2R2R1K b - - 2 33,-320,-0.16000,MID,65,33,25,20,29,0,0,14.56,10
6k1/1p4p1/p2p2Q1/2qPp3/2P3P1/1P4pP/P4r2/2R2R1K w - - 3 34,408,0.20400,MID,66,34,25,20,29,0,0,13.56,13
6k1/1p4p1/p2p2Q1/2qPp3/2P3P1/1P4pP/P4R2/2R4K b - - 0 34,-341,-0.17050,MID,67,34,25,15,28,0,0,13.56,12
6k1/1p4p1/p2p2Q1/3Pp3/2P3P1/1P4pP/P4q2/2R4K w - - 0 35,545,0.27250,MID,68,35,20,15,27,0,0,13.89,14
4Q1k1/1p4p1/p2p4/3Pp3/2P3P1/1P4pP/P4q2/2R4K b - - 1 35,0,0.00000,MID,69,35,20,15,27,0,0,15.84,37
4Q3/1p4pk/p2p4/3Pp3/2P3P1/1P4pP/P4q2/2R4K w - - 2 36,0,0.00000,MID,70,36,20,15,27,0,0,13.84,30
2r2rk1/5ppp/np2p3/p2pN1P1/3P1P1P/1P2P3/P2q4/R3K2R w KQ - 0 22,72,0.03600,MID,42,22,20,29,35,0,0,13.55,9
2r2rk1/5ppp/np2p3/p2pN1P1/3P1P1P/1P2P3/P2K4/R6R b - - 0 22,-33,-0.01650,END,43,22,20,20,34,1,0,14.92,11
2r2rk1/5ppp/1p2p3/p2pN1P1/1n1P1P1P/1P2P3/P2K4/R6R w - - 1 23,126,0.06300,END,44,23,20,20,34,1,0,15.96,11
2r2rk1/5ppp/1p2p3/p2pN1P1/1n1P1P1P/PP2P3/3K4/R6R b - - 0 23,-78,-0.03900,END,45,23,20,20,34,1,0,14.06,10
2r2rk1/5ppp/1pn1p3/p2pN1P1/3P1P1P/PP2P3/3K4/R6R w - - 1 24,80,0.04000,END,46,24,20,20,34,1,0,13.79,9
2r2rk1/5ppp/1pn1p3/p2pN1P1/3P1P1P/PP2P3/3K4/2R4R b - - 2 24,-44,-0.02200,END,47,24,20,20,34,1,0,14.04,12
2r2rk1/5ppp/1p2p3/p2pn1P1/3P1P1P/PP2P3/3K4/2R4R w - - 0 25,50,0.02500,END,48,25,17,20,33,1,0,13.37,8
2r2rk1/5ppp/1p2p3/p2pP1P1/3P3P/PP2P3/3K4/2R4R b - - 0 25,-16,-0.00800,END,49,25,17,17,32,1,0,14.26,10
4kb1r/1r2npp1/2p1p2p/3pP3/P2B2P1/1Q6/5P1P/R4RK1 b k - 0 18,237,0.11850,MID,35,18,27,22,30,0,0,13.25,12
4kb1r/4npp1/2p1p2p/3pP3/P2B2P1/1r6/5P1P/R4RK1 w k - 0 19,-237,-0.11850,END,36,19,18,22,29,1,0,18.65,12
4kb1r/4npp1/2p1p2p/P2pP3/3B2P1/1r6/5P1P/R4RK1 b k - 0 19,239,0.11950,END,37,19,18,22,29,1,0,14.69,11
2n1kb1r/5pp1/2p1p2p/P2pP3/3B2P1/1r6/5P1P/R4RK1 w k - 1 20,-225,-0.11250,END,38,20,18,22,29,1,0,12.95,9
2n1kb1r/5pp1/2p1p2p/P2pP3/3B2P1/1r6/5P1P/RR4K1 b k - 2 20,291,0.14550,END,39,20,18,22,29,1,0,14.95,12
2n1kb1r/5pp1/2p1p2p/P2pP3/1r1B2P1/8/5P1P/RR4K1 w k - 3 21,-182,-0.09100,END,40,21,18,22,29,1,0,13.95,10
2n1kb1r/5pp1/2p1p2p/P2pP3/1R1B2P1/8/5P1P/R5K1 b k - 0 21,385,0.19250,END,41,21,18,17,28,1,0,15.07,12
2n1k2r/5pp1/2p1p2p/P2pP3/1b1B2P1/8/5P1P/R5K1 w k - 0 22,-358,-0.17900,END,42,22,13,17,27,1,0,15.07,12
r3q3/k1pb1p2/1p2p3/1P2P3/1nPN1P2/P4QP1/K6P/7R w - - 0 32,397,0.19850,MID,62,32,24,24,29,0,0,15.07,12
r3q3/k1pb1p2/1p2p3/1P2P3/1PPN1P2/5QP1/K6P/7R b - - 0 32,-481,-0.24050,MID,63,32,24,21,28,0,0,13.02,10
rk2q3/2pb1p2/1p2p3/1P2P3/1PPN1P2/5QP1/K6P/7R w - - 1 33,471,0.23550,MID,64,33,24,21,28,0,0,13.97,13
