fen,eval_cp,eval_norm,phase_bucket,ply,move_number,material_white,material_black,piece_count_total,endgame_rule_flag,mate_flag,time_ms,depth
4r1k1/pp2Pp2/5Bp1/q6p/5Q2/5P2/P4PKP/2n5 b - - 1 23,359,0.17950,MID,45,23,17,22,25,0,0,50.57,11
4r1k1/pp2Pp2/5Bp1/q6p/5Q2/5P2/P3nPKP/8 w - - 2 24,54,0.02700,MID,46,24,17,22,25,0,0,47.78,11
4r1k1/pp2Pp2/5BpQ/q6p/8/5P2/P3nPKP/8 b - - 3 24,65,0.03250,MID,47,24,17,22,25,0,0,50.90,11
4r1k1/pp2Pp2/5BpQ/q6p/5n2/5P2/P4PKP/8 w - - 4 25,28,0.01400,MID,48,25,17,22,25,0,0,14.71,11
4r1k1/pp2Pp2/5BpQ/q6p/5n2/5PK1/P4P1P/8 b - - 5 25,360,0.18000,MID,49,25,17,22,25,0,0,48.50,12
4r1k1/pp2Pp2/5BpQ/q6p/8/5PK1/P3nP1P/8 w - - 6 26,0,0.00000,MID,50,26,17,22,25,0,0,15.52,12
6k1/1ppr1pp1/1p5p/n7/5Q2/2PPN2P/P1P1q1P1/5R1K b - - 0 25,-54,-0.02700,MID,49,25,23,23,30,0,0,13.96,8
6k1/1ppr1pp1/1pn4p/8/5Q2/2PPN2P/P1P1q1P1/5R1K w - - 1 26,61,0.03050,MID,50,26,23,23,30,0,0,14.96,8
6k1/1ppr1pp1/1pn4p/8/5QN1/2PP3P/P1P1q1P1/5R1K b - - 2 26,78,0.03900,MID,51,26,23,23,30,0,0,13.56,9
6k1/1ppr1pp1/1pn4p/8/5QN1/2PP3P/P1q3P1/5R1K w - - 0 27,446,0.22300,MID,52,27,22,23,28,0,0,14.97,13
6k1/1ppr1pp1/1pn4p/8/5QN1/2PP3P/P1q3P1/2R4K b - - 1 27,252,0.12600,MID,53,27,22,23,28,0,0,12.11,11
6k1/1ppr1pp1/1pn4p/8/5QN1/2Pq3P/P5P1/2R4K w - - 0 28,-281,-0.14050,MID,54,28,21,23,26,0,0,14.47,11
6k1/1ppr1pp1/1pn4p/8/5QN1/2Pq3P/P5P1/5R1K b - - 1 28,341,0.17050,MID,55,28,21,23,26,0,0,12.80,13
6k1/1ppr1pp1/1pn4p/8/5QN1/2P4P/P2q2P1/5R1K w - - 2 29,-312,-0.15600,MID,56,29,21,23,26,0,0,14.51,12
3Rr1k1/5ppp/p1p2q2/8/1P6/P3p2P/4QPP1/2R3K1 b - - 0 21,15,0.00750,MID,41,21,24,20,27,0,0,13.12,11
3Rr1k1/5ppp/p1p2q2/8/1P6/P6P/4QpP1/2R3K1 w - - 0 22,32,0.01600,MID,42,22,23,20,25,0,0,12.75,10
3Rr1k1/5ppp/p1p2q2/8/1P6/P6P/5QP1/2R3K1 b - - 0 22,-10,-0.00500,MID,43,22,23,19,23,0,0,13.88,9
