fen,eval_cp,eval_norm,phase_bucket,ply,move_number,material_white,material_black,piece_count_total,endgame_rule_flag,mate_flag,time_ms,depth
r1b1k2r/ppp1qppp/2nb1n2/3pp3/3P4/P1P1PNB1/1P3PPP/RN1QKB1R w KQkq - 0 8,7,0.00350,OPEN,14,8,39,39,46,0,0,25.50,10
r1b1k2r/ppp1qppp/2nb1n2/3pp3/3P4/P1P1PNB1/1P1N1PPP/R2QKB1R b KQkq - 1 8,38,0.01900,OPEN,15,8,39,39,46,0,0,14.50,8
r1b1k2r/ppp1qppp/2nb1n2/3p4/3Pp3/P1P1PNB1/1P1N1PPP/R2QKB1R w KQkq - 0 9,-34,-0.01700,OPEN,16,9,39,39,46,0,0,21.79,7
r1b1k2r/ppp1qppp/2nb1n2/3p4/3Pp2N/P1P1P1B1/1P1N1PPP/R2QKB1R b KQkq - 1 9,247,0.12350,OPEN,17,9,39,39,46,0,0,13.71,10
rnb1kbnr/ppppqppp/8/4p3/PP6/8/2PPPPPP/RNBQKBNR w KQkq - 1 3,9,0.00450,OPEN,4,3,39,39,46,0,0,13.96,10
rnb1kbnr/ppppqppp/8/4p3/PP6/N7/2PPPPPP/R1BQKBNR b KQkq - 2 3,88,0.04400,OPEN,5,3,39,39,46,0,0,17.66,10
rnb1kb1r/ppppqppp/5n2/4p3/PP6/N7/2PPPPPP/R1BQKBNR w KQkq - 3 4,-61,-0.03050,OPEN,6,4,39,39,46,0,0,14.42,11
rnb1kb1r/ppppqppp/5n2/4p3/PP6/N7/1BPPPPPP/R2QKBNR b KQkq - 4 4,103,0.05150,OPEN,7,4,39,39,46,0,0,13.62,11
rnb1kb1r/ppppqppp/8/4p3/PP2n3/N7/1BPPPPPP/R2QKBNR w KQkq - 5 5,-39,-0.01950,OPEN,8,5,39,39,46,0,0,22.09,9
rnb1kb1r/ppppqppp/8/4p3/PP2n3/N1P5/1B1PPPPP/R2QKBNR b KQkq - 0 5,84,0.04200,OPEN,9,5,39,39,46,0,0,14.68,8
rnb1kb1r/pppp1ppp/8/4p3/PP2n2q/N1P5/1B1PPPPP/R2QKBNR w KQkq - 1 6,68,0.03400,OPEN,10,6,39,39,46,0,0,14.93,11
rnb1kb1r/pppp1ppp/8/4p3/PP2n2q/N1P2N2/1B1PPPPP/R2QKB1R b KQkq - 2 6,2000,1.00000,OPEN,11,6,39,39,46,0,1,40.22,245
r1bq1rk1/ppppbp2/5n1p/6p1/2BQP3/6B1/PPP2PPP/RN2K2R w KQ - 2 10,183,0.09150,OPEN,18,10,35,35,40,0,0,15.44,9
r1bq1rk1/ppppbp2/5n1p/6p1/2BQP3/2N3B1/PPP2PPP/R3K2R b KQ - 3 10,-196,-0.09800,OPEN,19,10,35,35,40,0,0,16.00,11
r1bqr1k1/ppppbp2/5n1p/6p1/2BQP3/2N3B1/PPP2PPP/R3K2R w KQ - 4 11,208,0.10400,OPEN,20,11,35,35,40,0,0,14.86,9
r1bqr1k1/ppppbp2/5n1p/6p1/2BQP3/2N3B1/PPP2PPP/2KR3R b - - 5 11,-232,-0.11600,OPEN,21,11,35,35,40,0,0,15.27,12
r1bqr1k1/p1ppbp2/1p3n1p/6p1/2BQP3/2N3B1/PPP2PPP/2KR3R w - - 0 12,360,0.18000,OPEN,22,12,35,35,40,0,0,13.34,11
r1bqr1k1/p1ppbp2/1p3n1p/3N2p1/2BQP3/6B1/PPP2PPP/2KR3R b - - 1 12,-293,-0.14650,OPEN,23,12,35,35,40,0,0,14.90,10
r1bqr1k1/p1ppbp2/1p5p/3n2p1/2BQP3/6B1/PPP2PPP/2KR3R w - - 0 13,482,0.24100,OPEN,24,13,32,35,39,0,0,14.39,13
r1bqr1k1/p1ppbp2/1p5p/3B2p1/3QP3/6B1/PPP2PPP/2KR3R b - - 0 13,-138,-0.06900,OPEN,25,13,32,32,38,0,0,12.90,10
r1bqkb1r/pppppppp/2n2n2/8/3P4/2N5/PPP1PPPP/R1BQKBNR w KQkq - 3 3,123,0.06150,OPEN,4,3,39,39,46,0,0,14.11,9
r1bqkb1r/ppp1pppp/2n5/3NP3/3Pn3/8/PPP2PPP/R1BQKBNR b KQkq - 0 5,200,0.10000,OPEN,9,5,39,38,44,0,0,14.38,11
r1b1kb1r/ppp1pppp/2n5/3qP3/3Pn3/8/PPP2PPP/R1BQKBNR w KQkq - 0 6,-181,-0.09050,OPEN,10,6,36,38,43,0,0,14.95,12
r1b1kb1r/ppp1pppp/2n5/3qP3/3Pn3/3Q4/PPP2PPP/R1B1KBNR b KQkq - 1 6,458,0.22900,OPEN,11,6,36,38,43,0,0,15.02,12
r1b1kb1r/ppp1pppp/8/3qP3/3nn3/3Q4/PPP2PPP/R1B1KBNR w KQkq - 0 7,-228,-0.11400,OPEN,12,7,35,38,41,0,0,16.06,11
r1b1kb1r/ppp1pppp/8/3qP3/3nnB2/3Q4/PPP2PPP/R3KBNR b KQkq - 1 7,484,0.24200,OPEN,13,7,35,38,41,0,0,17.22,11
r3kb1r/ppp1pppp/4b3/3qP3/3nnB2/3Q4/PPP2PPP/R3KBNR w KQkq - 2 8,-461,-0.23050,OPEN,14,8,35,38,41,0,0,16.17,11
r3kb1r/ppp1pppp/4b3/3qP3/3nnB2/3Q1N2/PPP2PPP/R3KB1R b KQkq - 3 8,423,0.21150,OPEN,15,8,35,38,41,0,0,43.11,12
rnbqk2r/ppp1bppp/5n2/3P2N1/4p3/2N5/PPPPQPPP/R1B1KB1R b KQkq - 5 6,-2,-0.00100,OPEN,11,6,39,38,44,0,0,15.03,9
rnbq1rk1/ppp1bppp/5n2/3P2N1/4p3/2N5/PPPPQPPP/R1B1KB1R w KQ - 6 7,95,0.04750,OPEN,12,7,39,38,44,0,0,14.01,11
rnbq1rk1/ppp1bppp/5n2/3P2N1/4p3/2NP4/PPP1QPPP/R1B1KB1R b KQ - 0 7,42,0.02100,OPEN,13,7,39,38,44,0,0,15.23,10
rnbq1rk1/ppp1bppp/5n2/3P2N1/8/2Np4/PPP1QPPP/R1B1KB1R w KQ - 0 8,-12,-0.00600,OPEN,14,8,38,38,42,0,0,16.19,11
rnbq1rk1/ppp1bppp/5n2/3P2N1/8/2NQ4/PPP2PPP/R1B1KB1R b KQ - 0 8,14,0.00700,OPEN,15,8,38,37,40,0,0,46.54,10
rnbqr1k1/ppp1bppp/5n2/3P2N1/8/2NQ4/PPP2PPP/R1B1KB1R w KQ - 1 9,70,0.03500,OPEN,16,9,38,37,40,0,0,14.87,10
rnbqr1k1/ppp1bppp/5n2/3P2N1/8/2NQ4/PPP1BPPP/R1B1K2R b KQ - 2 9,0,0.00000,OPEN,17,9,38,37,40,0,0,13.89,9
