fen,eval_cp,eval_norm,phase_bucket,ply,move_number,material_white,material_black,piece_count_total,endgame_rule_flag,mate_flag,time_ms,depth
r1b3k1/1pp2Npp/p4n2/4N3/P3P3/3Pn3/6PP/2R2RK1 b - - 0 21,-98,-0.04900,END,41,21,21,19,28,1,0,43.85,11
5rk1/pp4p1/6R1/2b2p2/8/1PP3N1/1P1r2PP/5R1K b - - 0 28,32,0.01600,END,55,28,18,17,24,1,0,50.33,8
5rk1/pp4p1/6R1/2b2p2/8/1PP3N1/1r4PP/5R1K w - - 0 29,-23,-0.01150,END,56,29,17,17,22,1,0,48.87,10
5rk1/pp4p1/6R1/2b2p2/1P6/2P3N1/1r4PP/5R1K b - - 0 29,53,0.02650,END,57,29,17,17,22,1,0,47.98,9
5rk1/pp4p1/1b4R1/5p2/1P6/2P3N1/1r4PP/5R1K w - - 1 30,-8,-0.00400,END,58,30,17,17,22,1,0,13.96,10
5rk1/pp4p1/1b4R1/5p2/1P5P/2P3N1/1r4P1/5R1K b - - 0 30,58,0.02900,END,59,30,17,17,22,1,0,13.81,9
5rk1/pp4p1/1b4R1/5p2/1P5P/2P3N1/2r3P1/5R1K w - - 1 31,40,0.02000,END,60,31,17,17,22,1,0,14.05,9
5rk1/pp4p1/1b4R1/5N2/1P5P/2P5/2r3P1/5R1K b - - 0 31,-17,-0.00850,END,61,31,17,16,20,1,0,13.05,10
5rk1/pp4p1/1b4R1/5N2/1P5P/2r5/6P1/5R1K w - - 0 32,384,0.19200,END,62,32,16,16,18,1,0,13.83,11
7k/3p1p2/5p2/8/3p3P/3B2P1/2P2P1K/8 w - - 0 34,610,0.30500,END,66,34,7,4,17,1,0,12.97,11
7k/3p1p2/5p2/7P/3p4/3B2P1/2P2P1K/8 b - - 0 34,-593,-0.29650,END,67,34,7,4,17,1,0,14.96,12
8/3p1pk1/5p2/7P/3p4/3B2P1/2P2P1K/8 w - - 1 35,632,0.31600,END,68,35,7,4,17,1,0,14.96,14
8/3p1pk1/5p2/7P/3p4/3B2PK/2P2P2/8 b - - 2 35,-637,-0.31850,END,69,35,7,4,17,1,0,13.96,13
8/3p1p2/5p1k/7P/3p4/3B2PK/2P2P2/8 w - - 3 36,608,0.30400,END,70,36,7,4,17,1,0,13.96,14
8/3p1p2/5p1k/7P/3p2K1/3B2P1/2P2P2/8 b - - 4 36,-641,-0.32050,END,71,36,7,4,17,1,0,14.64,14
8/3p1pk1/5p2/7P/3p2K1/3B2P1/2P2P2/8 w - - 5 37,646,0.32300,END,72,37,7,4,17,1,0,14.43,13
8/3p1pk1/5p2/5K1P/3p4/3B2P1/2P2P2/8 b - - 6 37,-665,-0.33250,END,73,37,7,4,17,1,0,14.57,14
2k3r1/n1prb3/p7/4P3/5Bpp/2P5/PP3PP1/4R1K1 w - - 0 24,-600,-0.30000,END,46,24,14,20,26,1,0,13.85,14
2k3r1/n1prb3/p7/4P3/4RBpp/2P5/PP3PP1/6K1 b - - 1 24,744,0.37200,END,47,24,14,20,26,1,0,13.27,14
2k3r1/n1prb3/p7/4P3/4RBp1/2P4p/PP3PP1/6K1 w - - 0 25,-598,-0.29900,END,48,25,14,20,26,1,0,13.49,14
2k3r1/n1prb3/p7/4P3/R4Bp1/2P4p/PP3PP1/6K1 b - - 1 25,588,0.29400,END,49,25,14,20,26,1,0,13.48,14
2k3r1/n1prb3/p7/4P3/R4Bp1/2P5/PP3Pp1/6K1 w - - 0 26,-541,-0.27050,END,50,26,13,20,24,1,0,15.11,15
2k3r1/n1prb3/p7/4P3/R4Bp1/2P5/PP3PK1/8 b - - 0 26,559,0.27950,END,51,26,13,19,22,1,0,14.07,15
2k3r1/n1p1b3/p7/4P3/R4Bp1/2P5/PP3PK1/3r4 w - - 1 27,-506,-0.25300,END,52,27,13,19,22,1,0,13.86,13
2k3r1/n1p1b3/R7/4P3/5Bp1/2P5/PP3PK1/3r4 b - - 0 27,522,0.26100,END,53,27,13,18,20,1,0,13.08,13
1r1b2k1/2N2ppp/8/2p5/6b1/2P3PP/PPK5/4R2R b - - 0 29,337,0.16850,END,57,29,18,15,24,1,0,14.97,11
1r4k1/2b2ppp/8/2p5/6b1/2P3PP/PPK5/4R2R w - - 0 30,494,0.24700,END,58,30,15,15,23,1,0,13.13,13
1r2R1k1/2b2ppp/8/2p5/6b1/2P3PP/PPK5/7R b - - 1 30,388,0.19400,END,59,30,15,15,23,1,0,16.12,11
4r1k1/2b2ppp/8/2p5/6b1/2P3PP/PPK5/7R w - - 0 31,-389,-0.19450,END,60,31,10,15,22,1,0,14.90,11
4r1k1/2b2ppp/8/2p5/6b1/2P3PP/PPK5/3R4 b - - 1 31,767,0.38350,END,61,31,10,15,22,1,0,13.82,14
4r1k1/5ppp/8/2p5/6b1/2P3bP/PPK5/3R4 w - - 0 32,-413,-0.20650,END,62,32,9,15,20,1,0,14.89,12
4r1k1/5ppp/8/2p5/6b1/2P3bP/PPK5/6R1 b - - 1 32,723,0.36150,END,63,32,9,15,20,1,0,13.96,13
4r1k1/5ppp/8/2p2b2/8/2P3bP/PPK5/6R1 w - - 2 33,-732,-0.36600,END,64,33,9,15,20,1,0,14.69,13
2k2r1r/1pb2p2/p3p3/P2p2Np/6bP/2P3p1/1P3PB1/R3R1K1 w - - 0 23,-382,-0.19100,END,44,23,21,23,32,1,0,15.14,12
2k2r1r/1pb2p2/p3p3/P2p2Np/6bP/2P3P1/1P4B1/R3R1K1 b - - 0 23,465,0.23250,END,45,23,21,22,30,1,0,14.71,13
2k2r1r/1p3p2/p3p3/P2p2Np/6bP/2P3b1/1P4B1/R3R1K1 w - - 0 24,-416,-0.20800,END,46,24,20,22,28,1,0,15.58,12
2k2r1r/1p3p2/p3p3/P2p2Np/6bP/2P1R1b1/1P4B1/R5K1 b - - 1 24,438,0.21900,END,47,24,20,22,28,1,0,13.97,14
2k2r1r/1p3p2/p3p3/P2p2Np/6bb/2P1R3/1P4B1/R5K1 w - - 0 25,-434,-0.21700,END,48,25,19,22,26,1,0,13.96,12
2k2r1r/1p3p2/p3p3/P2p3p/6bb/2P1RN2/1P4B1/R5K1 b - - 1 25,466,0.23300,END,49,25,19,22,26,1,0,15.07,12
2k2r1r/1p2bp2/p3p3/P2p3p/6b1/2P1RN2/1P4B1/R5K1 w - - 2 26,-426,-0.21300,END,50,26,19,22,26,1,0,13.96,12
2k2r1r/1p2bp2/p3p3/P2pN2p/6b1/2P1R3/1P4B1/R5K1 b - - 3 26,475,0.23750,END,51,26,19,22,26,1,0,14.60,13
2k1r3/p1p5/1p6/2n4p/8/6rP/6P1/5R1K b - - 0 34,757,0.37850,END,67,34,7,17,16,1,0,14.15,12
2k5/p1p5/1p6/2n4p/8/6rP/4r1P1/5R1K w - - 1 35,-772,-0.38600,END,68,35,7,17,16,1,0,13.15,13
2k5/p1p5/1p6/2n4p/8/6rP/4r1P1/6RK b - - 2 35,783,0.39150,END,69,35,7,17,16,1,0,14.35,13
2k5/p1p5/1p6/2n4p/8/6rP/6r1/6RK w - - 0 36,-757,-0.37850,END,70,36,6,17,14,1,0,14.01,15
2k5/p1p5/1p6/2n4p/8/6rP/6R1/7K b - - 0 36,687,0.34350,END,71,36,6,12,13,1,0,13.68,15
2k5/p1p5/1p6/2n4p/8/7P/6r1/7K w - - 0 37,-756,-0.37800,END,72,37,1,12,12,1,0,14.66,17
2k5/p1p5/1p6/2n4p/8/7P/6K1/8 b - - 0 37,708,0.35400,END,73,37,1,7,11,1,0,14.72,16
2k5/2p5/1p6/p1n4p/8/7P/6K1/8 w - - 0 38,-731,-0.36550,END,74,38,1,7,11,1,0,14.07,16
3R1b1k/p5pp/6B1/2p2p2/5P2/1P2P3/PB4PP/6K1 b - - 0 35,-826,-0.41300,END,69,35,17,8,26,1,0,13.96,15
3R1b1k/p5p1/6p1/2p2p2/5P2/1P2P3/PB4PP/6K1 w - - 0 36,860,0.43000,END,70,36,14,8,25,1,0,14.51,15
5R1k/p5p1/6p1/2p2p2/5P2/1P2P3/PB4PP/6K1 b - - 0 36,-847,-0.42350,END,71,36,14,5,24,1,0,13.60,15
5R2/p5pk/6p1/2p2p2/5P2/1P2P3/PB4PP/6K1 w - - 1 37,873,0.43650,END,72,37,14,5,24,1,0,14.55,16
8/p4Rpk/6p1/2p2p2/5P2/1P2P3/PB4PP/6K1 b - - 2 37,-862,-0.43100,END,73,37,14,5,24,1,0,12.97,15
8/p4Rpk/8/2p2pp1/5P2/1P2P3/PB4PP/6K1 w - - 0 38,855,0.42750,END,74,38,14,5,24,1,0,13.96,14
8/p5Rk/8/2p2pp1/5P2/1P2P3/PB4PP/6K1 b - - 0 38,-834,-0.41700,END,75,38,14,4,22,1,0,12.97,15
8/p5R1/7k/2p2pp1/5P2/1P2P3/PB4PP/6K1 w - - 1 39,874,0.43700,END,76,39,14,4,22,1,0,14.58,15
rn2kbnr/ppp2ppp/4b3/8/5p2/2N5/PPPP2PP/R1B1KBNR w KQkq - 0 7,26,0.01300,END,12,7,28,29,38,1,0,12.97,10
rn2kbnr/ppp2ppp/4b3/8/3P1p2/2N5/PPP3PP/R1B1KBNR b KQkq - 0 7,29,0.01450,END,13,7,28,29,38,1,0,13.00,9
rn2k1nr/ppp2ppp/3bb3/8/3P1p2/2N5/PPP3PP/R1B1KBNR w KQkq - 1 8,46,0.02300,END,14,8,28,29,38,1,0,12.97,11
rn2k1nr/ppp2ppp/3bb3/8/3P1p2/2N2N2/PPP3PP/R1B1KB1R b KQkq - 2 8,12,0.00600,END,15,8,28,29,38,1,0,12.57,8
rn2k2r/ppp1nppp/3bb3/8/3P1p2/2N2N2/PPP3PP/R1B1KB1R w KQkq - 3 9,42,0.02100,END,16,9,28,29,38,1,0,13.57,10
rn2k2r/ppp1nppp/3bb3/1B6/3P1p2/2N2N2/PPP3PP/R1B1K2R b KQkq - 4 9,74,0.03700,END,17,9,28,29,38,1,0,13.57,10
r3k2r/pppnnppp/3bb3/1B6/3P1p2/2N2N2/PPP3PP/R1B1K2R w KQkq - 5 10,10,0.00500,END,18,10,28,29,38,1,0,13.97,10
r3k2r/pppnnppp/3bb3/1B6/3P1p2/2N2N2/PPP3PP/R1B2RK1 b kq - 6 10,148,0.07400,END,19,10,28,29,38,1,0,13.96,10
5rk1/p5bp/1p3rp1/8/2P1B3/P4P1P/2P3P1/1R3RK1 b - - 0 33,-144,-0.07200,END,65,33,19,17,26,1,0,13.89,11
5rk1/6bp/pp3rp1/8/2P1B3/P4P1P/2P3P1/1R3RK1 w - - 0 34,231,0.11550,END,66,34,19,17,26,1,0,15.96,12
5rk1/6bp/pp3rp1/8/2P1B3/P4P1P/2P3P1/3R1RK1 b - - 1 34,-190,-0.09500,END,67,34,19,17,26,1,0,13.96,11
5rk1/6bp/p4rp1/1p6/2P1B3/P4P1P/2P3P1/3R1RK1 w - - 0 35,286,0.14300,END,68,35,19,17,26,1,0,14.92,12
