fen,eval_cp,eval_norm,phase_bucket,ply,move_number,material_white,material_black,piece_count_total,endgame_rule_flag,mate_flag,time_ms,depth
8/p4r1p/1pk3p1/2p1nn2/3p1N2/1P1P3Q/3q2PP/4R1K1 w - - 2 35,-649,-0.32450,MID,68,35,21,26,27,0,0,15.21,14
8/p4r1p/1pk3p1/2p1nn2/3p1N2/1P1P3Q/3q2PP/5RK1 b - - 3 35,655,0.32750,MID,69,35,21,26,27,0,0,13.05,14
2Rqk3/5p2/1P2p3/p3P3/3Nb1p1/1PQ1B1P1/8/4Kr2 w - - 0 31,774,0.38700,MID,60,31,24,21,23,0,0,15.43,15
2Rqk3/5p2/1P2p3/p3P3/3Nb1p1/1PQ1B1P1/8/5K2 b - - 0 31,-877,-0.43850,MID,61,31,24,16,22,0,0,14.40,14
2Rqk3/1b3p2/1P2p3/p3P3/3N2p1/1PQ1B1P1/8/5K2 w - - 1 32,925,0.46250,MID,62,32,24,16,22,0,0,14.90,12
3Rk3/1b3p2/1P2p3/p3P3/3N2p1/1PQ1B1P1/8/5K2 b - - 0 32,-2000,-1.00000,MID,63,32,24,7,21,0,1,18.47,22
3k4/1b3p2/1P2p3/p3P3/3N2p1/1PQ1B1P1/8/5K2 w - - 0 33,912,0.45600,MID,64,33,19,7,20,0,0,14.51,13
3k4/1bQ2p2/1P2p3/p3P3/3N2p1/1P2B1P1/8/5K2 b - - 1 33,-2000,-1.00000,MID,65,33,19,7,20,0,1,19.14,23
4k3/1bQ2p2/1P2p3/p3P3/3N2p1/1P2B1P1/8/5K2 w - - 2 34,2000,1.00000,MID,66,34,19,7,20,0,1,14.66,18
4k3/1bQ2p2/1P2p2B/p3P3/3N2p1/1P4P1/8/5K2 b - - 3 34,-2000,-1.00000,MID,67,34,19,7,20,0,1,17.00,26
2b2r1k/p4p2/1p2p1pp/4P3/5P2/P1Nq2b1/1P4PP/R3K2R w KQ - 0 23,-648,-0.32400,MID,44,23,19,26,31,0,0,13.81,14
