fen,eval_cp,eval_norm,phase_bucket,ply,move_number,material_white,material_black,piece_count_total,endgame_rule_flag,mate_flag,time_ms,depth
r4rk1/2p5/p3p1p1/Pp1pPp2/1Pn2PpP/2P1P1P1/7B/R3R1K1 w - - 0 29,-88,-0.04400,END,56,29,21,21,38,1,0,13.24,10
r4k2/p2b2pp/2p1p3/8/2p1P1PN/7P/P1P5/3R2K1 w - - 0 28,377,0.18850,END,54,28,13,14,26,1,0,14.00,13
1rb5/r4kp1/p4n1p/8/8/6P1/PP3PBP/RN3RK1 w - - 0 23,280,0.14000,END,44,23,21,19,24,1,0,13.85,11
3r1r1k/pp3Bb1/8/2p2Rp1/2PpP3/8/PPP3PP/5RK1 b - - 1 25,-292,-0.14600,END,49,25,20,18,30,1,0,12.76,12
rnbqkbnr/ppp3pp/5p2/3pP3/8/2P2N2/PP2PPPP/RNBQKB1R b KQkq - 0 4,-91,-0.04550,OPEN,7,4,39,38,44,0,0,14.85,9
1n1r1r1k/5pbp/6p1/p4p2/3P4/1B2B3/PPN3PP/4RRK1 b - - 1 23,-557,-0.27850,END,45,23,24,21,29,1,0,14.00,12
r4k1r/ppB1bp1p/6p1/3R4/6b1/N1P5/PP3PPP/6K1 b - - 0 19,527,0.26350,END,37,19,17,21,29,1,0,14.23,15
rnbqk1nr/bp1p2pp/2p2p2/p3P3/2B1P3/2N2N2/PPP2PPP/R1BQK2R w KQkq - 4 7,405,0.20250,OPEN,12,7,39,38,44,0,0,14.99,12
r1bqkb1r/pp1p1ppp/2n2n2/2p1p3/4P3/6P1/PPPPNPBP/RNBQK2R w KQkq - 2 5,37,0.01850,OPEN,8,5,39,39,46,0,0,13.96,11
r4rk1/pp2bppp/5N2/8/8/5N2/nPP2PPP/R4R1K b - - 0 17,24,0.01200,END,33,17,21,21,28,1,0,12.97,9
r4kr1/npp5/3pp2p/p3p3/4P3/P2P3P/1PP1NPP1/R4RK1 w - - 0 18,233,0.11650,END,34,18,21,20,36,1,0,15.08,11
Nnb2rk1/p4ppp/1p6/2b5/5pn1/5P1N/PPP4P/R2QK2B b Q - 0 14,299,0.14950,MID,27,14,28,23,32,0,0,13.20,12
r1bqkbnr/4pppp/n2p4/p2P4/1pP1P3/8/1P1B1PPP/RN1QKBNR w KQkq - 2 8,53,0.02650,OPEN,14,8,38,38,42,0,0,12.97,11
r1bqkb1r/3p1ppp/1p3n2/p1p5/4P3/2Q1B3/PPPN1PPP/R3KB1R w KQkq - 2 9,123,0.06150,OPEN,16,9,35,35,40,0,0,14.02,8
3r2k1/p4q1p/b3R1p1/1p6/5QP1/1PN3P1/P7/6K1 w - - 2 37,464,0.23200,MID,72,37,21,21,22,0,0,14.29,11
rn2k2r/ppp2ppp/3bpn2/q7/6b1/P1N2N2/1BPPBPPP/R2Q1RK1 b kq - 3 9,157,0.07850,OPEN,17,9,37,38,40,0,0,15.32,10
rnbqkbnr/pppp1ppp/8/4p3/8/P5P1/1PPPPP1P/RNBQKBNR b KQkq - 0 2,46,0.02300,OPEN,3,2,39,39,46,0,0,14.01,9
3r2k1/pb3pb1/1pn1r1pp/2p1P3/2Pp1P1N/P7/BP1B2PP/3R1RK1 w - - 0 23,-32,-0.01600,END,44,23,26,26,38,1,0,12.85,9
2kB3r/1p4p1/p2pp2p/6b1/N1P5/1P6/P5PP/n2R2K1 w - - 0 28,451,0.22550,END,54,28,16,17,28,1,0,14.87,14
r5k1/pp2P1p1/3B2p1/7n/8/8/PPr3PP/4R1K1 b - - 0 23,395,0.19750,END,45,23,13,17,23,1,0,13.96,13
5rk1/5p2/6pp/5p2/8/8/5PPP/4R1K1 w - - 0 40,-5,-0.00250,END,78,40,8,9,16,1,0,56.85,8
rnbq1rk1/ppppb1pp/4pn2/5p2/3P1B2/2P2N1P/PP1NPPP1/R2QKB1R b KQ - 0 6,-11,-0.00550,OPEN,11,6,39,39,46,0,0,13.96,8
r2k3r/pp1b1p1p/5p2/2b5/1n3B2/P4N2/1PP2PPP/2KR1B1R b - - 0 12,-345,-0.17250,END,23,12,25,24,32,1,0,15.47,12
r2qk2r/pp3pbp/2n1pnp1/3p4/3P1B2/2PB1Q1P/PP3PP1/RN2R1K1 b kq - 2 11,-42,-0.02100,OPEN,21,11,35,35,40,0,0,13.96,9
6k1/7p/p3b1q1/1p3p2/3Pp2Q/r3P3/P5PP/5RK1 b - - 3 30,244,0.12200,MID,59,30,19,22,25,0,0,12.91,12
3r1rk1/pp3ppp/2p2n2/2P1p1Bn/2B1P1b1/5N2/PPP2PPP/3R1RK1 b - - 0 15,-65,-0.03250,END,29,15,27,26,40,1,0,13.04,10
1Q6/5ppk/2P1b2p/3p4/3Pp3/2P1P3/P1B2PPP/6K1 b - - 0 36,-853,-0.42650,MID,71,36,20,8,29,0,0,14.18,15
5rk1/1p1N1pp1/2p1p3/8/2PP4/2N4P/1qbK2B1/5R2 b - - 3 33,729,0.36450,MID,65,33,17,22,23,0,0,14.79,16
1n2r1k1/5ppp/5p2/p2q4/1P6/2Np4/PP2BPPP/R1B1K1NR b KQ - 1 16,440,0.22000,MID,31,16,28,23,33,0,0,14.14,13
r5k1/3p2pp/p1bRp1p1/2p1P1B1/2P5/8/PP2N1PP/3R2K1 b - - 0 19,-690,-0.34500,END,37,19,22,15,32,1,0,46.40,14
r2q4/6bk/3PQ1pp/1p3p2/2p1p3/3n2P1/1P3PBP/3R2K1 b - - 0 32,462,0.23100,MID,63,32,22,26,29,0,0,15.96,13
3r4/5kp1/6n1/2p1p2p/4P3/4RN1P/P4PP1/5K2 b - - 1 29,-76,-0.03800,END,57,29,13,12,22,1,0,15.96,10
