fen,eval_cp,eval_norm,phase_bucket,ply,move_number,material_white,material_black,piece_count_total,endgame_rule_flag,mate_flag,time_ms,depth
rnb1r1k1/ppq2ppp/4pn2/2pP4/3P4/B1PBPN2/P4PPP/R2Q1RK1 b - - 0 10,-76,-0.03800,OPEN,19,10,36,35,42,0,0,14.56,9
5b2/p2bk1p1/1p1p1p2/3Pp1qP/2P1P3/8/PPKN1Q2/7R w - - 4 29,308,0.15400,MID,56,29,23,21,30,0,0,15.34,12
5b2/2q3kp/2r2pp1/3Q4/8/1NP1P3/P5PP/1R3K2 w - - 1 27,370,0.18500,MID,52,27,22,20,22,0,0,14.84,13
8/p2b1qk1/2pb4/2p2p2/1PPp1P2/3P1K2/P2BR3/8 b - - 0 32,669,0.33450,MID,63,32,13,20,25,0,0,14.48,14
r7/pppq2k1/3p1pp1/2b5/8/1PNB1nP1/P1PP1PKP/5R2 b - - 2 18,594,0.29700,MID,35,18,18,26,33,0,0,14.44,15
7k/7p/p5p1/1p3p2/1N1p3P/P1r3PK/8/4N3 b - - 5 41,503,0.25150,END,81,41,9,11,21,1,0,15.96,13
rnbq1rk1/pp3ppp/4pn2/2pp2P1/3P1b2/2N1P3/PPP1BP1P/R2QK1NR w KQ - 0 8,-13,-0.00650,OPEN,14,8,36,39,45,0,0,14.01,11
r1b2rk1/ppp3p1/3b3p/8/2P5/2N5/PP2BPPP/R4RK1 b - - 3 15,-13,-0.00650,END,29,15,22,21,30,1,0,13.47,10
rnbqkb1r/ppp2ppp/3ppn2/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 1 4,-42,-0.02100,OPEN,7,4,39,39,46,0,0,12.50,9
4k2r/p4ppp/1q6/2b1P3/6n1/5N2/PPP3PP/R1B2RK1 w k - 2 16,-533,-0.26650,MID,30,16,22,24,28,0,0,13.99,15
5r2/4p1kp/p2p1np1/2pP1q2/2P2N2/6PQ/5P2/5RK1 w - - 1 30,77,0.03850,MID,58,30,21,23,26,0,0,14.93,11
r3k2r/3bbppp/p2p4/np1Pp1B1/4P3/N7/PP2BPPP/R3K2R w KQkq - 3 15,44,0.02200,END,28,15,26,26,38,1,0,13.99,9
r4r1k/ppp3p1/3p3p/8/5p2/2PP4/PP3P2/2K2R1R w - - 0 27,-360,-0.18000,END,52,27,15,17,28,1,0,12.90,13
rnbq1rk1/ppp1ppbp/5np1/8/2BP1B2/2N2N2/PPPQ1PPP/R3K2R b KQ - 4 8,-34,-0.01700,OPEN,15,8,38,38,42,0,0,13.60,8
2r1r1k1/pp5p/3b1B2/3p4/4p3/2PP3P/P5P1/2R2RK1 w - - 0 27,-15,-0.00750,END,52,27,18,18,26,1,0,15.76,12
r1r3k1/p1B2ppp/b3pn2/3p4/p2P4/1P2P3/P2N1PPP/2R1K2R b K - 0 15,493,0.24650,END,29,15,23,23,36,1,0,14.75,14
4rrk1/pp6/3np2R/5pP1/2pP4/P1P5/2P1B2P/6K1 b - - 0 27,419,0.20950,END,53,27,14,18,27,1,0,12.99,13
3rr1k1/1pp3bp/p2p2p1/3P1b2/2P5/1PN4P/P4PB1/2R2RK1 w - - 1 21,-207,-0.10350,END,40,21,22,22,32,1,0,12.96,10
r1bqkb1r/ppp2ppp/2n5/3np3/2B5/3P1N2/PPP1QPPP/RNB1K2R b KQkq - 1 6,13,0.00650,OPEN,11,6,38,38,42,0,0,12.96,8
6k1/ppp3pp/2n1p3/2b1q3/4Q3/2N3P1/PPPr3P/4R2K b - - 1 20,556,0.27800,MID,39,20,22,26,29,0,0,13.96,15
2k2rr1/4b3/p6p/P1PQ4/N2PB3/5P1b/4KP2/8 w - - 3 38,2000,1.00000,MID,74,38,20,18,21,0,1,13.00,25
1r3rk1/4R2p/4Rpp1/2p5/P7/1P3P2/2P3PP/6K1 b - - 0 30,-317,-0.15850,END,59,30,16,14,24,1,0,13.60,11
rnbqk1nr/pp4pp/2pbp3/5p2/3P4/2NB1N2/PPP2PPP/R1BQK2R w KQkq - 0 8,196,0.09800,OPEN,14,8,38,38,42,0,0,15.48,11
r1b1kb1r/pp3ppp/nqp1pn2/3p4/3P1B2/1PN1P3/P1P2PPP/R2QKBNR b KQkq - 0 7,342,0.17100,OPEN,13,7,39,39,46,0,0,15.01,10
r2qk1nr/1pp2ppp/p1pb4/4p3/3PP1b1/2P2N2/PP3PPP/RNBQ1RK1 b kq - 0 7,5,0.00250,OPEN,13,7,36,36,44,0,0,13.45,9
r1bqk2r/pppnbppp/3pp1n1/8/2PPP3/2NB2P1/PP2NP1P/R1BQK2R b KQkq - 4 7,-82,-0.04100,OPEN,13,7,39,39,46,0,0,13.96,9
rnbqkbnr/pp3ppp/8/2p1pP2/3pP3/2N5/PPPP2PP/R1BQKBNR w KQkq - 0 5,-94,-0.04700,OPEN,8,5,39,39,46,0,0,58.84,11
r1bq1rk1/pp2bppp/2n1pn2/3p4/2pP4/2P1PN2/PPBNQPPP/R1B1K2R w KQ - 2 9,89,0.04450,OPEN,16,9,39,39,46,0,0,13.99,10
6k1/3r1qp1/4p3/p1p1P3/PpR1P1Q1/1P3P2/4K2P/8 w - - 3 36,192,0.09600,MID,70,36,20,19,26,0,0,13.96,11
rn1qk1nr/pp2bpp1/4p3/2ppP1Bp/3P3P/3Q1N2/PPP2PP1/RN2K2R w KQkq - 0 9,53,0.02650,OPEN,16,9,36,36,44,0,0,14.90,9
