fen,eval_cp,eval_norm,phase_bucket,ply,move_number,material_white,material_black,piece_count_total,endgame_rule_flag,mate_flag,time_ms,depth
r1bB1rk1/p4ppp/2p1p3/8/3P4/3p1N2/PPP2PPP/R4RK1 b - - 0 13,-25,-0.01250,END,25,13,23,20,35,1,0,13.98,11
rn1qk1r1/p3pp2/1p4p1/2B4p/4pP2/2PB1P2/P1P2K1P/R7 w q - 0 18,-653,-0.32650,MID,34,18,17,29,33,0,0,14.48,16
8/r4k2/2p4p/3n2p1/2p5/pP1P2P1/P3R2P/2K5 w - - 0 30,-465,-0.23250,END,58,30,10,13,23,1,0,14.59,13
k5r1/pp3p1p/8/8/5Qq1/8/P4PP1/4RRK1 w - - 0 26,845,0.42250,MID,50,26,22,18,19,0,0,13.05,15
r2q1rk1/pppbppbp/2np1np1/8/3PP3/2NBBN2/PPP2PPP/R2Q1RK1 w - - 7 8,63,0.03150,OPEN,14,8,39,39,46,0,0,12.90,9
3rk2r/pbp2ppp/2p2n2/2b1N3/8/8/PPP2PPP/RNB2RK1 b k - 2 11,19,0.00950,END,21,11,25,25,34,1,0,14.95,10
5r1k/2Q5/8/3Bp1K1/4P2p/4B3/PP4P1/3q4 w - - 4 34,2000,1.00000,MID,66,34,19,16,17,0,1,15.93,29
2kr1b1r/ppp3pp/2n1bn2/4pp2/8/P1N1PN2/1PP2PPP/R1BBK2R w KQ - 3 10,-41,-0.02050,END,18,10,29,29,40,1,0,14.33,10
2r3k1/5ppp/8/1pNq1Pb1/1P6/4pPP1/P2nQ2P/3R2K1 b - - 1 34,504,0.25200,MID,67,34,23,25,29,0,0,13.48,12
rnbqkbnr/pp2pppp/8/8/3p4/1B3Q2/PPPP1PPP/RNB1K1NR b KQkq - 1 6,40,0.02000,OPEN,11,6,38,38,42,0,0,14.96,10
3q1k2/pp1n3Q/2p1Rb1p/3p4/3P3p/1PP4P/P4PP1/6K1 w - - 5 30,230,0.11500,MID,58,30,21,21,31,0,0,15.47,11
rnbqk2r/pppp1Bpp/5n2/2b5/3pP3/5N2/PPP2PPP/RNBQK2R b KQkq - 0 5,212,0.10600,OPEN,9,5,38,38,42,0,0,14.97,11
rnbq1rk1/pppp2pp/8/2b5/4n1P1/5P1N/PPP1P2P/RNBQKB1R w KQ - 1 7,216,0.10800,OPEN,12,7,38,37,40,0,0,12.96,10
rnbqk2r/ppppppb1/5np1/7p/6P1/5N1P/PPPPPPB1/RNBQK2R w KQkq - 0 5,103,0.05150,OPEN,8,5,39,39,46,0,0,13.96,10
2kr4/p3n1B1/q5P1/1p3p2/2p1p2p/2P4B/1P2Q2P/1K1R4 b - - 0 31,-273,-0.13650,MID,61,31,24,23,27,0,0,15.38,10
r3k2r/3q1p1p/2p1p1p1/p2pP1N1/5P2/Q7/PPP3PP/3R2K1 b q - 3 21,306,0.15300,MID,41,21,24,26,34,0,0,13.96,11
8/7p/p7/2P3p1/8/1B3k2/P6P/K7 b - - 0 41,-614,-0.30700,END,81,41,6,3,13,1,0,13.48,13
3rk2r/p3pp1p/n1p1b1p1/4P3/2B5/N7/PP3PPP/R3K1NR w KQk - 0 15,612,0.30600,END,28,15,25,22,33,1,0,14.96,13
2r1r3/5k2/7p/1p2R1p1/1B6/2P2P1P/6P1/6K1 w - - 1 38,-14,-0.00700,END,74,38,12,13,18,1,0,14.96,11
r1bqk2r/pp2ppbp/2B2np1/3p4/3P1N2/2N5/PPP2PPP/R1BQK2R b KQkq - 0 8,67,0.03350,OPEN,15,8,38,35,41,0,0,15.96,12
1r3n2/p1R5/3P1kpp/5p2/1bQ1p3/1P6/P1P2PPP/3K3R w - - 0 30,892,0.44600,MID,58,30,26,16,30,0,0,14.35,14
2r5/2r4Q/pq1kp3/1p1b3p/3P4/8/1P4P1/5RK1 w - - 4 34,-685,-0.34250,MID,66,34,17,26,20,0,0,14.15,13
rn1k2nr/1pp3pp/p4p2/4p3/1bP3b1/4PNB1/PP2BPPP/RN2K2R w KQ - 4 10,24,0.01200,END,18,10,29,29,40,1,0,13.54,11
1r1r2k1/p4ppp/b3p3/2np4/8/PPN2N2/2P2PPP/2R1R1K1 b - - 0 18,62,0.03100,END,35,18,22,22,32,1,0,13.96,9
4r1k1/7p/2p3p1/3n1p2/3pq3/2b4P/1p3PPK/1Q6 b - - 2 47,1171,0.58550,MID,93,47,12,26,23,0,0,13.62,15
