fen,eval_cp,eval_norm,phase_bucket,ply,move_number,material_white,material_black,piece_count_total,endgame_rule_flag,mate_flag,time_ms,depth
3r2k1/pp3p1p/1n4p1/8/8/3Q2N1/qP3PPP/6K1 w - - 0 25,0,0.00000,MID,48,25,16,22,23,0,0,13.28,20
r6k/1pp3p1/p1np3p/8/1PB5/P1PP1r1P/7K/4R3 w - - 0 29,-608,-0.30400,END,56,29,13,19,27,1,0,14.16,13
2r5/pp4k1/1npb1ppp/8/3Pp1N1/1P2P3/2R2P2/1BR3K1 b - - 0 28,-241,-0.12050,END,55,28,20,18,29,1,0,13.96,12
5bk1/1p3pp1/p6p/8/1P2Q3/P5BP/5PPK/2q5 b - - 2 31,215,0.10750,MID,61,31,17,17,24,0,0,14.05,12
5rk1/5ppp/R3p3/8/2pr1P2/8/P5PP/1R5K b - - 0 23,337,0.16850,END,45,23,14,15,22,1,0,14.57,12
r3k2r/1p3p1p/p1n1pp2/1B3b2/1b1P1B2/1P2PN2/1P3PPP/R3K2R w KQkq - 2 13,77,0.03850,END,24,13,26,25,36,1,0,13.72,10
6rk/p5p1/4pPQp/3pP2N/8/P1q2KR1/6PP/3r4 w - - 5 33,-113,-0.05650,MID,64,33,22,24,26,0,0,12.97,10
rnb1kbnr/ppp2ppp/8/4q3/3p4/8/PP1NQPPP/R1B1KBNR b KQkq - 1 8,291,0.14550,OPEN,15,8,36,38,38,0,0,12.96,11
rnb2rk1/ppp3pp/8/5p2/2PNp3/2N1B3/PPP2KPP/R2R4 b - - 1 12,-183,-0.09150,END,23,12,25,23,35,1,0,15.07,12
1k3rr1/pp6/2np1n2/2p1p1BP/4P3/2PP4/PP1Q4/2K4R w - - 0 28,394,0.19700,MID,54,28,23,21,29,0,0,14.73,12
r7/5kb1/2p2p2/p4Q2/4N1P1/P1Bq1P2/1P6/2K4R w - - 1 35,869,0.43450,MID,68,35,24,20,21,0,0,12.99,14
6k1/5ppp/r1p1p3/2P2nP1/P2P1B2/2P2Q1P/1q3P2/4R1K1 b - - 0 32,-200,-0.10000,MID,63,32,24,22,30,0,0,15.95,11
2r3k1/pb3p1p/1p2p1p1/1Q1pP3/8/1P4q1/P5P1/1B3RK1 b - - 0 28,522,0.26100,MID,55,28,21,24,28,0,0,15.27,12
r1bqkb1r/2p1pppp/p1p2n2/8/3P4/2N2N2/PPP3PP/R1BQ1RK1 b kq - 1 8,17,0.00850,OPEN,15,8,34,35,38,0,0,14.96,10
1k3B2/1p6/p1b5/7p/8/1P1P2P1/P1P2P1P/6K1 w - - 0 27,538,0.26900,END,52,27,10,6,22,1,0,14.23,14
r4rk1/ppp2ppp/8/4p3/2Pn2b1/3P3P/PP1N1PP1/2R1KB1R b K - 0 14,118,0.05900,END,27,14,23,23,36,1,0,13.96,10
2r3k1/5p2/p2p2p1/3P4/2Pq4/7P/P4rBK/2RR4 w - - 0 35,333,0.16650,MID,68,35,17,23,22,0,0,12.97,12
r1bqkbnr/pp1npppp/8/3p4/3P4/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 5,86,0.04300,OPEN,8,5,38,38,42,0,0,13.96,10
4r3/6pk/4P1pp/r7/1ppN4/4B2P/PP4P1/R3R1K1 b - - 1 28,-662,-0.33100,END,55,28,21,15,26,1,0,13.73,14
r1b1k1nr/pppp1ppp/2n2q2/2b1p3/4P3/2P2N2/PP1PBPPP/RNBQK2R w KQkq - 3 5,145,0.07250,OPEN,8,5,39,39,46,0,0,12.98,11
rnbqk1nr/pp2bppp/4p3/3P4/3N4/4P3/PP3PPP/RNBQKB1R b KQkq - 0 6,-36,-0.01800,OPEN,11,6,38,37,40,0,0,14.47,10
rn6/pp2q3/2pkp1QR/6p1/3P4/2P1P3/PP3PP1/2KR4 b - - 2 28,-604,-0.30200,MID,55,28,26,22,30,0,0,13.00,14
