fen,eval_cp,eval_norm,phase_bucket,ply,move_number,material_white,material_black,piece_count_total,endgame_rule_flag,mate_flag,time_ms,depth
r1bqr1k1/ppp2ppp/2p2n2/2b5/4P3/2NP4/PPP1BPPP/R1BQ1RK1 b - - 0 8,-222,-0.11100,OPEN,15,8,36,35,42,0,0,50.17,10
rn2k1nr/pp4pp/2p1pp2/1bb1P3/4B1P1/5N1P/PPKN1P2/R1B4R w kq - 4 15,-23,-0.01150,END,28,15,28,29,38,1,0,14.47,10
4q1k1/pp3pbp/6p1/8/2r2Bb1/2P5/PP1Q1PPP/4R1K1 b - - 1 24,389,0.19450,MID,47,24,23,25,29,0,0,14.05,12
3rr3/pp4k1/2n3p1/3p4/3P1P2/2N5/PP4PP/3R1RK1 b - - 0 23,-258,-0.12900,END,45,23,19,17,26,1,0,14.53,12
r3k2r/1p3p1p/p4p2/3p1b2/8/4P3/P3NPPP/3K1B1R b kq - 2 15,367,0.18350,END,29,15,16,19,28,1,0,14.99,13
4b1rr/k7/5p2/1PpN2p1/2PpP3/3P1N1P/6P1/R5K1 b - - 1 34,-356,-0.17800,END,67,34,17,17,26,1,0,12.96,13
rnbqk2r/pp2npp1/2pbp2p/4N2Q/2BP4/2N5/PPP2PPP/R1B2RK1 b kq - 1 9,-184,-0.09200,OPEN,17,9,38,38,42,0,0,15.72,12
5R2/1pkn4/2p1p3/r2pP3/P2P3P/4B3/6P1/R5K1 w - - 1 31,661,0.33050,END,60,31,18,12,23,1,0,13.55,14
r1b1kb1r/ppppqppp/2n2n2/6B1/2B1P3/1QN5/PP3PPP/R3K1NR b KQkq - 6 7,68,0.03400,OPEN,13,7,37,38,40,0,0,14.51,11
6k1/4bppb/2q1p2p/ppp1P2P/5P2/P1B3N1/1P1Q1KP1/8 b - - 0 27,453,0.22650,MID,53,27,21,22,32,0,0,14.96,13
3N3r/ppkb4/7p/3p4/3P4/3nP1P1/P4PP1/R3K2R w KQ - 0 20,272,0.13600,END,38,20,19,15,26,1,0,12.96,10
r4k2/ppp3bp/6p1/5b2/2P1nB2/5N2/PPp2PPP/2R3K1 b - - 5 20,615,0.30750,END,39,20,17,20,31,1,0,15.92,14
rnb1k1nr/ppp2p1p/3P4/8/7q/8/PPPP2BP/RNBQK2R w KQkq - 1 9,-1,-0.00050,OPEN,16,9,34,33,34,0,0,12.97,10
rnbq1rk1/pp3pbp/3p1np1/2p5/2P5/2N2NP1/PP2PPBP/R1BQ1RK1 b - - 1 9,-72,-0.03600,OPEN,17,9,38,38,42,0,0,14.96,11
2kr4/ppp2ppp/8/3BR3/8/3P2P1/PPb2K1P/R7 w - - 0 18,477,0.23850,END,34,18,18,14,27,1,0,12.94,12
3rr1k1/5p2/pp4Qp/8/2P2P2/P4N2/1P2pnP1/4R1K1 b - - 0 37,323,0.16150,MID,73,37,22,18,26,0,0,13.96,12
r3q3/1b6/4pkPp/3p1p1B/pppP1P1Q/8/PPP5/2KN2R1 b - - 1 34,-419,-0.20950,MID,67,34,26,24,33,0,0,14.10,12
2kr1bnr/B1pn2pp/1p3p2/4p3/P3P3/5N2/1PP2PPP/R4RK1 w - - 0 13,-372,-0.18600,END,24,13,23,25,35,1,0,14.74,13
r1b2k1r/pppp1Bpp/2n5/2b1p1q1/3PP1n1/2N5/PPP2PPP/R1BQ1RK1 b - - 0 8,307,0.15350,OPEN,15,8,36,38,43,0,0,14.18,11
6k1/pp4pp/2p1Qp2/3p4/3P2bN/2P5/PP4PP/7K b - - 0 26,204,0.10200,MID,51,26,18,10,29,0,0,13.55,11
1r3k2/6p1/6p1/3pP2p/1p5P/1Rp2K2/8/8 b - - 1 42,713,0.35650,END,83,42,7,11,18,1,0,13.99,14
