fen,eval_cp,eval_norm,phase_bucket,ply,move_number,material_white,material_black,piece_count_total,endgame_rule_flag,mate_flag,time_ms,depth
6k1/3q1p1p/p1p3p1/6P1/4pP2/2P1P1R1/P1Q4P/3r2K1 w - - 5 30,-622,-0.31100,MID,58,30,20,20,28,0,0,13.59,15
r1bqkb1r/ppp1nppp/3p1n2/3P4/8/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 1 7,133,0.06650,OPEN,12,7,38,38,42,0,0,73.04,8
8/pp6/2b5/k6p/3P4/6P1/PP2PK1P/8 b - - 1 43,169,0.08450,END,85,43,6,6,19,1,0,15.74,10
2kr4/ppp3p1/7p/4q3/3nN3/P1Q4P/1PP2PP1/1K1R4 w - - 0 24,172,0.08600,MID,46,24,23,22,28,0,0,14.77,10
2n3k1/4bpp1/pq2p2p/1p1P4/1P2P1n1/P5P1/1Q1N2BP/B4K2 b - - 0 25,2000,1.00000,MID,49,25,24,24,32,0,1,31.37,245
5rk1/1p1bqp1p/p3p1p1/3p4/3P4/2Q5/PP2BPPP/2R3K1 w - - 0 21,-54,-0.02700,MID,40,21,23,24,32,0,0,13.93,10
r1b1r1k1/pp1n2bp/2n3p1/6B1/4N3/2PP3P/PP3PP1/R3K1NR b KQ - 0 15,458,0.22900,END,29,15,26,26,33,1,0,14.16,14
1k1r4/1p6/8/pQ6/P1NPnq2/2P5/6PP/2R3K1 w - - 0 33,381,0.19050,MID,64,33,22,19,20,0,0,15.96,13
r1b2rk1/pp2bppp/3ppn2/2p1n3/4P3/1B1P1P2/PPP1NP1P/R1B2RK1 w - - 1 12,-638,-0.31900,END,22,12,27,30,43,1,0,12.97,13
r3k1r1/ppp2p1p/4p3/4P1q1/3P4/N1P1p3/PP2Q1P1/R5K1 b q - 2 20,354,0.17700,MID,39,20,23,26,32,0,0,14.21,13
4Rr2/1p1q1pk1/p5pp/2pP4/2P2Q2/2P2KP1/P6P/4R3 b - - 0 30,-18,-0.00900,MID,59,30,25,20,29,0,0,13.24,10
2nr4/6kp/Rn3pp1/2p1R3/8/6P1/1P4KP/8 w - - 0 39,-187,-0.09350,END,76,39,13,15,19,1,0,14.96,8
r1bqkbnr/2p3p1/p1p2p2/3p3p/8/1P2P3/PBPPNPPP/RN1QK2R b KQkq - 1 8,-161,-0.08050,OPEN,15,8,36,35,42,0,0,13.94,9
r4nk1/8/p2q4/PpR2p1p/3P4/8/1BP3KP/5R2 b - - 0 31,428,0.21400,MID,61,31,17,21,22,0,0,13.97,14
rn2k2r/pp3pp1/2p2p2/8/3P4/2N5/PP3PbP/R1B1K2R w KQkq - 0 13,-42,-0.02100,END,24,13,21,22,30,1,0,53.47,10
r1br3k/pp2Rppp/8/5p1P/1P3P2/2b5/P1K3P1/R1B5 w - - 0 25,-103,-0.05150,END,48,25,18,22,29,1,0,15.34,11
1r5k/4bRp1/p5Bp/8/3P4/2P5/P5bP/R6K w - - 0 26,623,0.31150,END,50,26,17,14,20,1,0,12.97,14
r3k2r/ppp1b2p/2n1b1p1/5p2/2P5/P2N4/1P1N1PPP/R1B2RK1 b kq - 2 15,300,0.15000,END,29,15,25,25,34,1,0,15.63,13
rn2kb1r/ppq1pppp/2p2n2/7b/3P1B2/2NB1P2/PPP1N1PP/R2QK2R b KQkq - 2 9,-91,-0.04550,OPEN,17,9,38,38,42,0,0,52.62,6
r3k2r/5ppp/p1b1p3/1p1pn3/8/P1P2P2/1PB3PP/R2NK2R b KQkq - 1 17,224,0.11200,END,33,17,22,23,34,1,0,13.96,10
6k1/1p3ppp/rN1b4/8/bPN5/P3P3/1r3PPP/R3R1K1 b - - 2 23,-306,-0.15300,END,45,23,22,20,28,1,0,15.07,10
8/7p/3k4/1p2Q3/8/6P1/1B5P/6K1 b - - 1 42,-718,-0.35900,END,83,42,14,2,10,1,0,13.96,14
1r4k1/pp3p2/2p1p1p1/3n3p/3P4/qP3P1P/P4PP1/R2QR1K1 w - - 0 22,169,0.08450,MID,42,22,26,24,34,0,0,15.96,10
r2k2nr/ppp2ppp/4b3/2b1p1B1/4P3/2N2P2/PPP3PP/R3KB1R b KQ - 2 10,-21,-0.01050,END,19,10,26,26,38,1,0,13.96,10
rnbqkbnr/pp4pp/2p5/3p1p2/2PPp3/4PP2/PP1N2PP/RNBQKB1R b KQkq - 0 6,87,0.04350,OPEN,11,6,39,39,46,0,0,13.96,10
r1b2rk1/ppqnbppp/2p2n2/4p1B1/P1B1P3/2N2N2/1PP2PPP/R2Q1RK1 w - - 1 10,13,0.00650,OPEN,18,10,38,38,42,0,0,13.54,10
2r5/p4kp1/1ppR3p/4p3/6b1/2P1Bp2/PPP1K1PP/8 w - - 0 25,-14,-0.00700,END,48,25,14,15,30,1,0,13.96,11
r2qk2r/pp2b1pp/2np1n2/1N2pbB1/2P5/8/PP2BPPP/RN1QK2R w KQkq - 2 10,53,0.02650,OPEN,18,10,37,37,38,0,0,14.96,10
