fen,eval_cp,eval_norm,phase_bucket,ply,move_number,material_white,material_black,piece_count_total,endgame_rule_flag,mate_flag,time_ms,depth
8/kppN4/p1n1n1N1/6P1/1PP5/P3P2r/5P2/2KR4 b - - 0 30,-232,-0.11600,END,59,30,17,14,24,1,0,14.97,13
7k/1p4p1/1p2R2p/p2n1r2/P7/2P4P/1P3PP1/5RK1 w - - 1 27,502,0.25100,END,52,27,16,13,26,1,0,14.52,13
r4r1k/pp3pRp/2pp1P2/8/7P/3b4/PP3P2/2K4R w - - 1 20,-350,-0.17500,END,38,20,15,19,27,1,0,13.96,12
rnbqk2r/ppppbppp/5n2/4Q3/4P3/8/PPPP1PPP/RNB1KBNR w KQkq - 1 4,17,0.00850,OPEN,6,4,39,38,44,0,0,14.53,8
2r2rk1/4pp2/6p1/7P/1p1q2P1/pP1P1Q2/P3K3/1R6 b - - 0 27,722,0.36100,MID,53,27,19,24,25,0,0,13.61,13
rnbqkbnr/ppp2p1p/3pp1p1/8/4P3/1B1P4/PPP2PPP/RNBQK1NR b KQkq - 0 4,-18,-0.00900,OPEN,7,4,39,39,46,0,0,13.22,10
r1bqkbnr/pp3ppp/2n1p3/3p4/3P1P2/5N2/PPP3PP/RNBQKB1R w KQkq - 0 6,12,0.00600,OPEN,10,6,38,38,42,0,0,14.22,9
2kr2nr/1pp2ppp/p1b1p3/4n3/7N/1B3P2/PP5P/2R1K3 w - - 1 20,-886,-0.44300,END,38,20,15,26,30,1,0,14.42,12
6k1/5pp1/b7/p1rp3p/Pp6/8/1PP3PB/1K1RR3 w - - 0 27,502,0.25100,END,52,27,17,14,25,1,0,14.38,12
1r3r1k/4bPpp/2p5/2Bn4/8/pP1N3P/P1P3P1/R4R1K w - - 3 26,497,0.24850,END,50,26,22,20,28,1,0,13.95,14
5b1r/Q4ppp/3p1k2/4p3/2P5/1Pn5/P4PPP/R3K1NR w KQ - 1 17,897,0.44850,MID,32,17,28,16,29,0,0,13.10,15
r2qkb1r/ppp2ppp/4b3/n2np1N1/2B5/3P1Q2/PPP2PPP/RNB1K2R w KQkq - 3 8,246,0.12300,OPEN,14,8,38,38,42,0,0,13.96,11
3r2k1/pb1q2pp/6p1/3p1P2/2pP4/P1P5/1P3QP1/4RRK1 b - - 0 34,-386,-0.19300,MID,67,34,25,23,30,0,0,13.99,12
r3kbnr/1pp2ppp/p1p2q2/4P2b/4P3/5N1P/PPP2PP1/RNBQ1RK1 b kq - 0 8,-161,-0.08050,OPEN,15,8,36,35,42,0,0,14.96,11
r2qkbnr/ppp2ppp/2n1p3/3p1b2/3P4/2P2NP1/PP2PP1P/RNBQKB1R w KQkq - 0 5,24,0.01200,OPEN,8,5,39,39,46,0,0,14.89,11
r5nr/2pk1p1p/bp4p1/p2Pp3/2P1P3/2P3P1/P5BP/R1B2RK1 w - - 0 18,477,0.23850,END,34,18,23,23,36,1,0,13.96,13
rn1qk2r/ppp1pp1p/3p1npQ/8/3P2b1/5N2/PPP1PPPP/RN2KB1R w KQkq - 1 7,60,0.03000,OPEN,12,7,36,36,44,0,0,12.97,9
5r1k/2p2rp1/p4n1p/1p6/8/2P5/PPB2PKP/R3R3 w - - 1 23,49,0.02450,END,44,23,18,18,26,1,0,15.96,10
r5k1/2p2pbp/2Npbnp1/2n1p3/2P5/3P2PN/PP2PP1P/R3K2R b KQ - 2 16,598,0.29900,END,31,16,24,23,37,1,0,13.96,14
rnb1k1nr/ppp2ppp/3qp3/3p4/3P4/2N2N2/PPP1PPPP/R2QKB1R b KQkq - 1 5,21,0.01050,OPEN,9,5,36,36,44,0,0,13.79,8
r5k1/1pp2pp1/2n4p/p7/2q4P/8/P3Q1P1/4R1K1 b - - 1 26,664,0.33200,MID,51,26,17,23,23,0,0,14.96,14
rn2kbnr/1pp1pppp/p7/6q1/7N/2N4b/PPPPBPPP/R1BQ1RK1 w kq - 6 8,186,0.09300,OPEN,14,8,38,38,42,0,0,13.53,9
3r4/pk6/2p2n2/8/b1P5/3p1N2/PQ1B1NPP/2R1K2R b - - 0 23,-1079,-0.53950,MID,45,23,32,14,23,0,0,13.49,15
rnbqkb1r/pp4pp/2pp1n2/4NP2/5P2/8/PPPP2PP/RNBQKB1R w KQkq - 0 6,123,0.06150,OPEN,10,6,39,37,42,0,0,13.47,10
q5k1/1pp2ppp/8/1P1p4/5P2/1QP4P/2KN4/1N2r3 b - - 3 29,242,0.12100,MID,57,29,19,20,25,0,0,13.82,11
r1bqkbnr/4pppp/ppnp4/8/2P1P3/4BP2/PP4PP/RN1QKBNR b KQkq - 1 7,-26,-0.01300,OPEN,13,7,38,38,42,0,0,13.96,11
3r1rk1/pp3pbp/2p3p1/8/5N2/P1N1P1P1/1P1P3P/R1n2RK1 w - - 0 18,314,0.15700,END,34,18,22,22,32,1,0,14.96,12
r5k1/p5p1/Np2p2p/3bn3/8/1P6/P3B1PP/5RK1 b - - 0 24,191,0.09550,END,47,24,15,16,24,1,0,15.96,11
rn2k1nr/ppp1pp1p/6p1/4b3/6b1/2P5/PP3PPP/R1BNKBNR w KQkq - 1 8,-119,-0.05950,END,14,8,28,29,38,1,0,13.48,8
r1bqr1k1/pp1nbppp/4pn2/2pp4/3PP3/2P2NP1/PP1N1PBP/R1BQR1K1 b - - 0 9,-28,-0.01400,OPEN,17,9,39,39,46,0,0,13.58,10
rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P4/3BPN1P/PPP2PP1/RNBQK2R b KQkq - 1 5,38,0.01900,OPEN,9,5,39,39,46,0,0,14.96,8
r1bkr3/p7/2p2p1p/2P1p3/P2n4/3P1P2/1P4PP/R2Q1RK1 w - - 0 20,482,0.24100,MID,38,20,26,21,31,0,0,13.57,14
rn3rk1/1p3ppp/4p3/1p6/P1BP4/8/1B1K1PPP/4R3 w - - 0 19,-307,-0.15350,END,36,19,16,19,28,1,0,12.97,11
5r1k/6p1/1P5p/2p2Pqn/BpP5/3PPR1Q/3NK1P1/8 b - - 0 33,-492,-0.24600,MID,65,33,26,21,27,0,0,12.97,14
rn3rk1/pp3ppp/2p1bq2/2bnp3/2B1Q3/2NP1N1P/PPP2PP1/R1B1K2R w KQ - 6 10,123,0.06150,OPEN,18,10,38,38,42,0,0,13.25,10
rn5N/ppp1k1pp/3bBn2/8/4p3/2N5/PPP2PPP/R1B1K2R b KQ - 0 11,-360,-0.18000,END,21,11,28,20,34,1,0,14.96,11
