fen,eval_cp,eval_norm,phase_bucket,ply,move_number,material_white,material_black,piece_count_total,endgame_rule_flag,mate_flag,time_ms,depth
2kr1b1r/p1ppq3/1p2pp2/1B4p1/3R4/2N5/PPP2PPP/2K4R b - - 0 14,617,0.30850,MID,27,14,22,29,34,0,0,13.55,15
r4rk1/pp3ppp/8/2n5/4n3/5B2/PPP2PPP/RN3RK1 w - - 2 15,356,0.17800,END,28,15,22,21,30,1,0,16.95,12
2k5/1p4pp/p1np4/5r2/3PB3/2P1P3/PP3q2/R1BQ3K w - - 0 21,309,0.15450,MID,40,21,25,22,27,0,0,14.50,12
6r1/pbp5/1p3Rp1/3k4/PP6/8/1BP1r1PP/3R2K1 b - - 1 28,-739,-0.36950,END,55,28,18,17,24,1,0,13.92,12
r3kr2/p3b3/3p4/8/8/8/PP1P1PPP/1RB1K2R w K - 0 20,510,0.25500,END,38,20,19,15,22,1,0,13.96,12
r1bqkbnr/1ppppppp/p7/3Pn3/4PP2/8/PPP3PP/RNBQKBNR b KQkq - 0 4,-144,-0.07200,OPEN,7,4,39,39,46,0,0,14.80,11
r3k2r/p1p2ppp/1pb5/3n4/4pB2/1N6/PPP2PPP/R3K2R w KQkq - 1 16,-126,-0.06300,END,30,16,22,23,34,1,0,15.11,10
2b3k1/5pp1/pq6/1p2p3/4P1n1/5NPp/P3NP1P/1Q4K1 w - - 0 37,-390,-0.19500,MID,72,37,20,21,28,0,0,14.09,13
r3k2r/pp1n1pbp/2p1pnp1/8/2B5/1P3N2/PBPP1P1P/1R2K2R b Kkq - 2 14,235,0.11750,END,27,14,25,26,36,1,0,12.96,12
5rk1/5p1p/2p3p1/3p3P/3Pq3/4PQ2/6P1/1r1N1RK1 w - - 1 29,-422,-0.21100,MID,56,29,21,24,24,0,0,14.96,12
r1bqkb1r/pp2pppp/2np1n2/2p5/4P3/2NP1N2/PPPB1PPP/R2QKB1R b KQkq - 2 5,63,0.03150,OPEN,9,5,39,39,46,0,0,14.96,11
3r1r1k/7p/p4qp1/2p5/4Q3/3PR1PB/PPP2PKP/8 w - - 0 29,57,0.02850,MID,56,29,24,23,28,0,0,12.96,9
r4r2/1p3kpp/4pn2/pPb2p2/4pP2/1P2P3/PB2BKPP/R2R4 b - - 0 19,99,0.04950,END,37,19,23,23,36,1,0,14.96,10
rn1qkb1r/pppb1p1p/4pn2/3p2B1/P2P4/R1N1P3/1PP2PPP/3QKBNR b Kkq - 2 6,-24,-0.01200,OPEN,11,6,39,38,44,0,0,12.90,10
rnbqk1nr/p1p1b1pp/3p4/1p2pp2/P6P/1P4P1/1BPPPP2/RN1QKBNR w KQkq - 0 6,183,0.09150,OPEN,10,6,39,39,46,0,0,13.96,11
6k1/p4pb1/1p3npp/2p2b2/8/1NNB4/PPP2PPP/3R2K1 b - - 1 18,-526,-0.26300,END,35,18,20,15,31,1,0,14.73,15
3r2k1/p1p2rp1/2P5/pP1p2Np/4p1bP/1R2K1P1/5P2/5R2 w - - 4 29,178,0.08900,END,56,29,18,20,30,1,0,12.97,10
rn1qkbnr/ppp1pppp/8/4Pb2/3p1P2/8/PPPP2PP/RNBQKBNR w KQkq - 1 4,-4,-0.00200,OPEN,6,4,39,39,46,0,0,13.96,9
2kr1b1r/ppp1pppp/4b3/4P3/2P5/P2nN3/1P3PPP/R1B1KB1R w KQ - 1 12,-73,-0.03650,END,22,12,26,26,38,1,0,13.96,10
4kr2/3b3p/5p2/3Bp1p1/2Pb4/3P2P1/6KP/8 b - - 2 32,745,0.37250,END,63,32,7,15,20,1,0,12.49,15
r1b1k1nB/ppp4p/3b1p2/6p1/8/8/PPP1PPPP/RN1K1B1R w q - 0 10,422,0.21100,END,18,10,26,20,35,1,0,14.96,13
rnb1kb1r/ppp2N1p/6p1/8/3qp3/8/PPPPQPPP/RNB1K2R b KQkq - 0 8,325,0.16250,OPEN,15,8,35,34,38,0,0,13.96,12
rnbqk2r/ppp2pbp/3p1np1/4p3/8/1P2P1P1/PBPPNPBP/RN1QK2R b KQkq - 1 6,5,0.00250,OPEN,11,6,39,39,46,0,0,13.96,7
5b2/nq6/p3p1pk/1p1pPp1p/1P1P1P2/P3B3/2Q3PP/2R3K1 w - - 3 33,542,0.27100,MID,64,33,24,22,34,0,0,14.09,15
r4rk1/ppp2ppp/3p4/6b1/2B1PRP1/2NPn3/PP6/2R3K1 w - - 4 21,-557,-0.27850,END,40,21,21,23,32,1,0,13.96,11
5r1k/2p2rpp/p2b4/8/4PpP1/P7/1BPP1R2/2KR4 b - - 0 28,106,0.05300,END,55,28,18,18,26,1,0,12.96,12
7r/p4pbp/1p1Q2p1/6k1/5p2/3P3P/PPP2PP1/R4RK1 w - - 1 23,885,0.44250,MID,44,23,26,14,31,0,0,13.96,15
4r3/p6k/3p1b2/2p3p1/8/2P1B1P1/PP3P2/R5K1 w - - 2 30,250,0.12500,END,58,30,13,12,22,1,0,13.96,12
r1br4/pp1p2k1/3Np3/2pnn2p/8/2PP4/PP2BPP1/RN2K2R w KQ - 0 21,239,0.11950,END,40,21,25,25,34,1,0,14.16,10
rnb1k2r/pppp1ppp/5q2/4p3/2P1P1n1/2NPPN2/PP4PP/R2QKB1R b KQkq - 0 7,11,0.00550,OPEN,13,7,36,36,44,0,0,13.53,10
Q4bn1/p2bk3/3p3p/1p2q1p1/4P3/6P1/P4P1P/2R3K1 b - - 2 25,457,0.22850,MID,49,25,19,23,26,0,0,14.52,13
rnbq1rk1/1pp1bppp/p3pn2/8/2BPP3/P1N2N2/1P3PPP/R1BQ1RK1 b - - 0 8,-92,-0.04600,OPEN,15,8,38,38,42,0,0,13.96,10
3r1rk1/pp4pp/8/b2Np3/8/6PK/PP4N1/3R4 w - - 1 26,-508,-0.25400,END,50,26,14,18,22,1,0,13.12,13
r2qkbnr/1p1bpppp/p1Bp4/2p5/4P3/1P6/PBPPNPPP/RN1QK2R b KQkq - 0 6,45,0.02250,OPEN,11,6,39,36,45,0,0,14.00,11
rnbqk1nr/pppp1ppp/8/2b1p3/4P3/3B4/PPPP1PPP/RNBQK1NR w KQkq - 2 3,-7,-0.00350,OPEN,4,3,39,39,46,0,0,14.28,8
rnbqkbnr/4pppp/p2p4/1pp5/4PP2/3P1N2/PPP3PP/RNBQKB1R w KQkq - 0 5,43,0.02150,OPEN,8,5,39,39,46,0,0,16.41,8
rnb4r/1p2kp1p/2pp1N1n/p3P3/2B5/3P4/PPP3PP/4RRK1 b - - 0 15,339,0.16950,END,29,15,23,25,35,1,0,14.00,12
4r1k1/5ppp/p1R5/3p1b2/Pb1P3N/7P/5rP1/R6K b - - 2 25,494,0.24700,END,49,25,17,21,25,1,0,13.96,14
r1bqkbnr/pp1npppp/2pp4/8/4P3/3P2P1/PPPN1P1P/R1BQKBNR b KQkq - 0 4,-18,-0.00900,OPEN,7,4,39,39,46,0,0,15.47,11
r2q1rk1/pb2bppp/2p2n2/n3p1N1/B7/3P1Q2/PPP2PPP/RNB1K2R w KQ - 1 11,68,0.03400,OPEN,20,11,38,37,40,0,0,13.96,9
6k1/4p2p/pq4p1/1p3r2/2n2N2/1Q4P1/5P1P/R5K1 w - - 0 29,-213,-0.10650,MID,56,29,20,22,22,0,0,13.48,10
