fen,eval_cp,eval_norm,phase_bucket,ply,move_number,material_white,material_black,piece_count_total,endgame_rule_flag,mate_flag,time_ms,depth
r1bqk1nr/ppppppbp/2n3p1/8/3P4/2P1PN2/PP3PPP/RNBQKB1R b KQkq - 0 4,-36,-0.01800,OPEN,7,4,39,39,46,0,0,13.96,9
8/4k3/4Q2B/4p3/6BK/7P/2r5/5q2 b - - 5 43,-2000,-1.00000,END,85,43,16,15,9,1,1,50.86,245
r1bqkbnr/1pp1p2p/p1n2p2/3p4/3PP1p1/2N1B3/PPPN1PPP/R2QKB1R b KQkq - 1 7,-159,-0.07950,OPEN,13,7,39,39,46,0,0,15.02,11
rnbqk1nr/ppp2ppp/4p3/3p4/3PP1Q1/2P5/P1P2PPP/R1B1KBNR b KQkq - 0 5,-175,-0.08750,OPEN,9,5,36,36,44,0,0,12.97,12
rn1k3r/pp3ppp/2p1pn2/8/1b2P3/P1N2B1P/1PP2PP1/R1B1K2R b KQ - 0 10,110,0.05500,END,19,10,26,26,38,1,0,14.42,11
r1bqkbnr/ppppnpp1/7p/1B2p3/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 5,277,0.13850,OPEN,8,5,39,39,46,0,0,14.86,10
4r3/pr3pkp/4p1p1/2np2P1/3R3P/5P2/PPP1N3/2K4R w - - 1 24,35,0.01750,END,46,24,19,19,30,1,0,14.50,10
r1b3nr/ppNk1pp1/2np2p1/2b1p3/2B1P3/5N2/PPPP1PPP/R1B1K2R w KQ - 1 9,337,0.16850,END,16,9,30,29,42,1,0,14.50,12
r3k1nr/ppp2p1p/2n3p1/8/3pP3/1N1P1BbP/PPP2RP1/R1BK4 w kq - 1 16,71,0.03550,END,30,16,26,26,38,1,0,13.96,9
rn1qk1nr/pbpp1p1p/1p2p1p1/8/1bPPP3/2N1BN2/PP3PPP/R2QKB1R b KQkq - 3 6,-35,-0.01750,OPEN,11,6,39,39,46,0,0,14.03,9
6k1/ppp3pp/5r2/2qP4/5n2/PQP5/6PP/R4R1K b - - 1 20,-335,-0.16750,MID,39,20,24,22,26,0,0,12.97,11
1r4k1/p4ppp/8/5b2/8/2P2NQ1/q5PP/4R1K1 w - - 0 25,2000,1.00000,MID,48,25,20,21,20,0,1,53.70,217
rnb1k2r/1pp2pp1/1p1p1n1p/8/4P3/2N2N2/PPP2PPP/R3KB1R w KQkq - 0 10,38,0.01900,END,18,10,26,26,38,1,0,12.43,10
rnbqkbnr/pp2p3/2pp1p1p/6p1/3P1B2/4PN1P/PPP2PP1/RN1QKB1R w KQkq - 0 6,164,0.08200,OPEN,10,6,39,39,46,0,0,15.35,11
rn4k1/ppp3bp/3pppp1/8/2PN4/1PN5/P2P1PPP/R1B3K1 b - - 1 17,-376,-0.18800,END,33,17,21,19,37,1,0,14.99,12
r3r2k/1p3p2/p3bP1b/3p2p1/3B3P/3B2R1/PPP3P1/7K w - - 1 26,-10,-0.00500,END,50,26,17,21,29,1,0,13.99,10
1rb2k1r/1p4pp/3p4/pNb5/2P5/P3P3/1P2BPPP/3RK2R b K - 1 19,-384,-0.19200,END,37,19,23,21,32,1,0,15.11,13
rnbqkbnr/p4ppp/2p1p3/1p1pP3/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 5,135,0.06750,OPEN,8,5,39,39,46,0,0,14.96,9
r1bqkb1r/pppp2pp/2n2n2/5P2/3Np3/2P5/PP1P1PPP/RNBQKB1R w KQkq - 2 6,120,0.06000,OPEN,10,6,39,38,44,0,0,13.96,10
r1bqkb1r/ppp1pppp/2n2n2/6N1/8/P2B4/1PP2PPP/RNBQK2R b KQkq - 0 6,147,0.07350,OPEN,11,6,37,38,40,0,0,13.55,9
rnbqkbnr/pppp1ppp/8/8/3p4/7P/PPP1PPP1/RNBQKBNR w KQkq - 0 3,-28,-0.01400,OPEN,4,3,38,39,44,0,0,14.48,11
