fen,eval_cp,eval_norm,phase_bucket,ply,move_number,material_white,material_black,piece_count_total,endgame_rule_flag,mate_flag,time_ms,depth
r1bqkb1r/ppp2ppp/2n1p3/8/2B2B2/2P2Q2/PPP2PPP/R3K1NR b KQkq - 2 7,-43,-0.02150,OPEN,13,7,35,35,40,0,0,13.95,8
4r2k/2pQ2r1/1p1p3p/p5q1/P7/2P3P1/2P2P2/R5K1 w - - 0 31,54,0.02700,MID,60,31,19,24,25,0,0,13.15,10
r4rk1/p1p2ppp/2n5/2pNpNB1/2P1Pnb1/8/P1P2PPP/R4RK1 w - - 6 15,171,0.08550,END,28,15,26,26,38,1,0,13.96,11
2k2b1r/1p1r2pp/pB3p2/4p3/2Pn4/8/PP3PPP/3RR1K1 w - - 0 24,-426,-0.21300,END,46,24,19,22,31,1,0,13.96,10
r1bqk2r/pppp1ppp/2n5/8/2P3n1/2N2NK1/PP2P1PP/R1BQ1B1R b kq - 4 8,-312,-0.15600,OPEN,15,8,37,35,39,0,0,15.13,11
3r3r/1p1kpp2/1p1p1np1/7p/2bNP3/P7/1PP2PPP/2KR1B1R w - - 3 17,542,0.27100,END,32,17,23,23,36,1,0,13.96,14
rnb1kbnr/pp3p2/2p3pp/3p4/8/1BNP1N2/PPP2PPP/R1B1K2R b KQkq - 1 9,17,0.00850,END,17,9,29,29,40,1,0,13.48,11
rn2kb1r/pbpp1pp1/1p2pq1p/8/2PPP3/2N5/PP3PPP/R2QKBNR w KQkq - 0 7,84,0.04200,OPEN,12,7,36,36,44,0,0,14.75,11
rnbq1rk1/ppp1ppb1/3p1np1/7p/3PP3/2N1BN1P/PPPQ1PP1/R3KB1R b KQ - 1 7,-128,-0.06400,OPEN,13,7,39,39,46,0,0,13.60,9
3Qn1k1/2p2ppp/p3q3/8/8/2N5/PP3PPP/4N1K1 w - - 1 23,557,0.27850,MID,44,23,20,17,25,0,0,14.46,12
5rk1/4n2p/4R1p1/3p1pN1/1Pr2P2/2P5/6PP/3R2K1 b - - 0 31,-274,-0.13700,END,61,31,18,17,24,1,0,13.96,11
r3k1r1/pppnb3/5p2/4pN2/4P1p1/1P1P2P1/PBP2RKP/7Q b q - 1 28,-437,-0.21850,MID,55,28,27,22,34,0,0,14.96,13
4qr2/p5kp/1p3pp1/2p5/2Q1PP2/2N5/PPP3PP/4R1K1 w - - 2 22,583,0.29150,MID,42,22,24,20,31,0,0,15.17,14
r1b1k2r/p1p1bppp/2pq4/3pN3/3Pn3/7P/PPP2PP1/RNBQ1RK1 w kq - 2 9,39,0.01950,OPEN,16,9,35,35,40,0,0,12.97,9
2r3k1/p4pp1/2P3p1/3Pr3/P3p2P/4Pb2/3N1P2/R3K3 b Q - 0 29,469,0.23450,END,57,29,14,18,27,1,0,14.96,16
2kr3r/ppp2pp1/4p1p1/8/3NpP2/2P1P1q1/PP3RP1/R5K1 b - - 2 19,914,0.45700,MID,37,19,19,27,34,0,0,15.53,12
8/2p3p1/1pk1p2p/4Pp2/PP6/2P1R3/r5PP/6K1 w - - 3 32,-214,-0.10700,END,62,32,11,11,26,1,0,12.97,11
rk6/2pB4/2Q3Np/p3P1b1/5P2/4B3/P5PP/1R3R1K b - - 2 32,-2000,-1.00000,MID,63,32,33,11,24,0,1,1.00,0
rnbqkb1r/1p3p1p/p2p1np1/4p3/4P3/2N2NP1/PPP2PBP/R1BQK2R b KQkq - 1 8,-37,-0.01850,OPEN,15,8,38,38,42,0,0,14.96,10
3rkb1r/pbp1n1pp/2p2p2/8/4P3/5N2/PPP2PPP/RNB1K2R w KQk - 2 10,162,0.08100,END,18,10,26,25,36,1,0,16.04,11
2kr2nr/ppp2ppp/2n1p3/8/1bBPPB2/8/PP2N1PP/3R1K1R b - - 3 12,231,0.11550,END,23,12,25,26,36,1,0,14.96,11
3n1b1r/pp3kpp/8/1B2pb2/4p3/P3P3/1PP2PPP/R2QK2R w KQ - 2 17,730,0.36500,MID,32,17,29,20,34,0,0,13.82,14
r1bqk1nr/ppp3pp/2n2p2/4N3/7B/8/PPP1PPPP/RN1QKB1R b KQkq - 0 7,-179,-0.08950,OPEN,13,7,38,34,39,0,0,14.90,13
